标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
绿地华家池印 3室2厅 9200元,3室2厅,89,9200,103.371
泊林印象 2室2厅 5000元,2室2厅,82.05,5000,60.938
郡原相江公寓 3室2厅 4600元,3室2厅,88.4,4600,52.036
滨江德信东方星城4居室 02卧,4室1厅,8.5,1630,191.765
城东新城板块自住精装三房两卫诚心出租,3室1厅,89,7000,78.652
三里亭 三里家园三区， 一室一厅一卫，简单装修。,1室1厅,87.31,3200,36.651
江干 地铁 城东新城 东方星城 西边套 采光好,3室1厅,122,6800,55.738
大世界五金城 3室1厅 5000元,3室1厅,136,5000,36.765
丁桥颐景园 2室2厅 3400元,2室2厅,75,3400,45.333
钱塘航空大厦 3室1厅 9500元,3室1厅,140.6,9500,67.568
中海御道 4室2厅 13000元,4室2厅,140,13000,92.857
龙湖武林九里 3室2厅 4166元,3室2厅,89,4166,46.809
九月庭院 3室2厅 5500元,3室2厅,126,5500,43.651
火车东站自住精装婚房出租大品牌家电,2室1厅,61,4600,75.41
丁兰广场 明珠一号 精装修复式两层，带免费车位出租,1室1厅,45,3000,66.667
首开武林8栋 简装房 看房方便 视野宽阔 价格美丽,3室2厅,89,5500,61.798
上东领地，简装两房，干净清爽，出行便利！,2室2厅,82.34,3800,46.15
置鼎明珠1号 2室1厅 3000元,2室1厅,45,3000,66.667
万象城悦玺 3室2厅 27500元,3室2厅,185,27500,148.649
淮矿东元府 3室1厅 6500元,3室1厅,88.83,6500,73.173
闸弄口铁路宿舍 2室2厅 4000元,2室2厅,54.42,4000,73.502
loft 酒店式公寓， 办公使用，杭州火车东站50米,5室1厅,188,15000,79.787
置鼎明珠1号 2室1厅 3000元,2室1厅,45,3000,66.667
南肖埠近庆春银泰 精装3室2卫带车位 地铁庆春广场站,3室2厅,129,7500,58.14
滨江德信东方星城5居室 01卧,5室1厅,14.3,2430,169.93
北城枫景园 2室1厅 2700元,2室1厅,62,2700,43.548
郡原相江公寓 3室2厅 4500元,3室2厅,89,4500,50.562
白云大厦 1室0厅 3100元,1室0厅,38.56,3100,80.394
长睦锦苑 2室1厅 3100元,2室1厅,72,3100,43.056
龙湖名景台二期 3室1厅 4000元,3室1厅,89,4000,44.944
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
建塘家苑 2室1厅 2850元,2室1厅,63,2850,45.238
置鼎明珠1号 2室1厅 3300元,2室1厅,46.81,3300,70.498
宋都时间国际 1室1厅 3300元,1室1厅,41,3300,80.488
精装修公寓房，拎包入住。给您一个温馨的家,1室1厅,48.93,3500,71.531
龙湖武林九里 3室2厅 4500元,3室2厅,90,4500,50.0
罗兰春天 3室1厅 3000元,3室1厅,104.97,3000,28.58
三里亭四区，整租一室，简单装修，看房随时，拎包入住,1室0厅,38.35,3200,83.442
简装干净 两室一厅 采光位置佳,2室1厅,70,2800,40.0
绿城开发商精装修，出租带车位，位置安静，地铁近,3室2厅,104,6500,62.5
九月庭院 2室2厅 4300元,2室2厅,98,4300,43.878
地铁 旁安全精装修大面积三室两卫泊林印象,3室1厅,126.77,6500,51.274
彭埠地铁站三房，南北通透，家具家电齐全，拎包入住,3室2厅,88.9,5800,65.242
盛世钱塘 3室2厅 10000元,3室2厅,146.85,10000,68.097
入住率高，配套完善，楼层佳，离高速远，无噪音干扰,3室2厅,77,4800,62.338
采荷电梯地铁房 滨江房产 滨江物业,3室1厅,89.54,11000,122.85
保利梧桐语 3室2厅 5300元,3室2厅,89,5300,59.551
楼层高，采光好，家具家电齐备，拎包入住。,3室1厅,76.35,7500,98.232
金基晓庐 3室1厅 9500元,3室1厅,112,9500,84.821
天阳观筑 2室1厅 3500元,2室1厅,75,3500,46.667
采荷街道商教苑社区 2室1厅 5300元,2室1厅,50,5300,106.0
近地铁精装两房公寓东西全配。房东诚心出租，价格可谈,2室0厅,42,6000,142.857
新和嘉苑 2室2厅 5500元,2室2厅,100,5500,55.0
招商雍华府 3室1厅 5300元,3室1厅,89,5300,59.551
金雅苑社区 2室1厅 4700元,2室1厅,85.08,4700,55.242
上东名筑，精装三房，中间楼层，新装家电，拎包入住,3室1厅,85.94,3500,40.726
浙商国际中心 1室0厅 2500元,1室0厅,33.74,2500,74.096
世茂东壹号 3室1厅 5800元,3室1厅,89,5800,65.169
东都公寓 3室1厅 4200元,3室1厅,85,4200,49.412
火车东站旁，交通枢纽，一室一厅，办公好使,1室1厅,54,4500,83.333
loft 酒店式公寓， 可办公可住宿，杭州火车东站50米,1室0厅,58.12,4500,77.426
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
景芳六区 两居室好房源，合租，一家人都是很舒服的,2室1厅,56.1,4200,74.866
华鸿汇盛德堡 2室1厅 4200元,2室1厅,75,4200,56.0
蓝桥名苑 3室1厅 3900元,3室1厅,89,3900,43.82
新和嘉苑 2室1厅 4000元,2室1厅,61,4000,65.574
钱塘航空大厦 2室1厅 4800元,2室1厅,61,4800,78.689
广宇东承府 3室2厅 3000元,3室2厅,88.46,3000,33.914
龙湖名景台 温馨装修 三室两厅 拎包入住 找有缘的租客,3室2厅,89,5200,58.427
广宇上东臻品 3室2厅 3000元,3室2厅,88.8,3000,33.784
九堡东方公寓 2室2厅 3800元,2室2厅,75.9,3800,50.066
大户型 一梯一户  小区宽敞  适合多人口家庭居住,4室2厅,210,14000,66.667
南肖埠北景西苑 3室1厅 6200元,3室1厅,72.52,6200,85.494
天运花园 3室2厅 8000元,3室2厅,138.56,8000,57.737
广大融城印象 3室2厅 3900元,3室2厅,101.7,3900,38.348
柏悦公馆 1室1厅 2000元,1室1厅,43,2000,46.512
东都公寓 3室2厅 4000元,3室2厅,105,4000,38.095
城市之星 4室2厅 30000元,4室2厅,290,30000,103.448
高层，89方两室，边套，全明户型,2室1厅,86.89,5300,60.997
中海御道 3室2厅 15000元,3室2厅,128,15000,117.188
三里亭苑三区 1室1厅 3300元,1室1厅,35,3300,94.286
丁桥兰苑 2室2厅 3500元,2室2厅,89,3500,39.326
高品质小区精装两居室边套户型看房方便能随时签约,2室2厅,89.42,7000,78.282
同协雅苑大3房2卫装修简单无物业费停车方便,3室1厅,103,4300,41.748
广宇上东领地 2室2厅 3600元,2室2厅,79,3600,45.57
江干三里亭 绿城 玉兰公寓 二室一厅,2室1厅,87.46,6000,68.603
景芳二区 1室1厅 3000元,1室1厅,33,3000,90.909
景芳二区 2室1厅 4650元,2室1厅,58.84,4650,79.028
滨江德信东方星城 3室2厅 5000元,3室2厅,89,5000,56.18
城东新城  新上好房源 东方星城 精装修,3室1厅,89,6500,73.034
江干火车东站 地铁 城东新城 东方星城 采光充足,3室2厅,89,6000,67.416
滨江德信东方星城 3室2厅 8200元,3室2厅,89,8200,92.135
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
后珠辰秀嘉园南区 2室1厅 3500元,2室1厅,92.82,3500,37.707
凯旋路78号 2室1厅 4800元,2室1厅,51.27,4800,93.622
濮家新村两居室。边套，全明户型！,2室1厅,60.4,4000,66.225
锦江半岛 2室2厅 4000元,2室2厅,89.74,4000,44.573
郡原相江公寓 3室2厅 4500元,3室2厅,65.67,4500,68.524
广宇东承府 1室1厅 2800元,1室1厅,53,2800,52.83
新江花园 2室2厅 3700元,2室2厅,74.39,3700,49.738
明月嘉苑 2室1厅 4000元,2室1厅,65,4000,61.538
天运花园自住精装修。三房两卫，方正户型，拎包入住！,3室2厅,119,7800,65.546
丁桥颐景园毛坯小三房，价格美丽,2室2厅,88,2500,28.409
明桂北苑 1室1厅 3800元,1室1厅,51,3800,74.51
景芳六区 3室1厅 5600元,3室1厅,90,5600,62.222
东港嘉苑三区 2室1厅 4000元,2室1厅,68,4000,58.824
东都公寓 3室1厅 4200元,3室1厅,85,4200,49.412
久睦苑 2室2厅 2600元,2室2厅,62,2600,41.935
火车东站旁，交通枢纽，一室一厅，办公好使,1室1厅,54,4500,83.333
loft 酒店式公寓， 可办公可住宿，杭州火车东站50米,1室0厅,58.12,4500,77.426
恒祺克拉天玺 1室1厅 3600元,1室1厅,39.5,3600,91.139
火车东站两室跃层公寓可居住可办公,2室1厅,36,4800,133.333
两房朝南，采光好，精装修，拎包入住。,3室2厅,89,3500,39.326
两房简装修，自己有家具可直接入住，看房随时联系。,2室1厅,61.67,2500,40.538
广宇上东臻品 2室1厅 3300元,2室1厅,69,3300,47.826
景芳新五区 2室1厅 4600元,2室1厅,58,4600,79.31
婚房装修，两房很大，客厅明厅，很正气的大两房,2室1厅,72.35,5500,76.019
绿城物业高楼层电梯两居室诚心出租,2室1厅,70,4500,64.286
户型方正的三房两厅 小清新装修 随时入住 家电齐全,3室2厅,88.08,6700,76.067
丁桥大唐苑 2室2厅 3000元,2室2厅,80,3000,37.5
广宇东承府 2室1厅 3600元,2室1厅,69.38,3600,51.888
保利梧桐语 3室2厅 5300元,3室2厅,89,5300,59.551
楼层高，采光好，家具家电齐备，拎包入住。,3室1厅,76.35,7500,98.232
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
广宇上东领地 2室2厅 3200元,2室2厅,66,3200,48.485
景芳东区 2室1厅 5000元,2室1厅,65,5000,76.923
loft 酒店式公寓， 办公使用，杭州火车东站50米,3室1厅,190.73,10000,52.43
龙湖大面积4房简装修适合办公或一大家子人住,3室2厅,118,5500,46.61
三里亭苑四区 2室1厅 3600元,2室1厅,70,3600,51.429
广宇上东名筑 2室1厅 3800元,2室1厅,84,3800,45.238
新塘家园东区 3室2厅 7500元,3室2厅,137,7500,54.745
锦润公寓 2室2厅 4100元,2室2厅,75,4100,54.667
丁桥热闹小区，边套3房自住装修家电齐全拎包入住。,3室1厅,91,3600,39.56
闸弄口 地铁口，大三房，自住装修，欢迎咨询,3室2厅,126.45,8800,69.593
万象城悦府 2室1厅 12500元,2室1厅,89.61,12500,139.493
自住精装修 绿城物业 采光非好 南北通透！,3室2厅,88.82,7200,81.063
金色黎明二期 3室2厅 6800元,3室2厅,138,6800,49.275
紫玉福邸 3室2厅 5500元,3室2厅,89,5500,61.798
金色黎明三期 3室1厅 6000元,3室1厅,89,6000,67.416
建塘家苑 2室1厅 3300元,2室1厅,80,3300,41.25
广宇上东名筑 3室2厅 3800元,3室2厅,89,3800,42.697
景芳一区 1室0厅 3500元,1室0厅,33.79,3500,103.581
置鼎明珠1号 2室1厅 3400元,2室1厅,45,3400,75.556
滨江东方星城，火车东站地铁口1.5公里，可长租,4室2厅,139,8000,57.554
一号线闸弄口地铁口大三房。。。,3室2厅,138,8500,61.594
紫薇公寓 2室1厅 5500元,2室1厅,88.94,5500,61.839
天运一线河景房，精装修，还配置钢琴，三房只出租两间,3室2厅,152.29,4600,30.206
三里亭苑四区 2室1厅 3900元,2室1厅,55,3900,70.909
景芳水湘苑 2室1厅 4500元,2室1厅,77.28,4500,58.23
清泰小区 3室2厅 7200元,3室2厅,78.96,7200,91.185
万科魅力之城 2室2厅 5000元,2室2厅,89,5000,56.18
郡枫绿园东区 2室2厅 3300元,2室2厅,67,3300,49.254
盛世钱塘 3室2厅 13500元,3室2厅,147,13500,91.837
置鼎明珠1号 2室1厅 2700元,2室1厅,45,2700,60.0
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
后珠辰秀嘉园精装三房，拎包入住，价格可谈,2室1厅,88.03,3500,39.759
南肖埠文景苑 3室2厅 8800元,3室2厅,137,8800,64.234
1号线地铁口 闻皇庙社区 两室一厅,2室1厅,53,4500,84.906
二房带花园，精装修地暖，不靠高架，看房随时,2室2厅,86.9,7500,86.306
宋都阳光国际 2室2厅 4500元,2室2厅,84.72,4500,53.116
闸弄口紫薇公寓全明户型精装修大两房,2室1厅,86,6000,69.767
蓝桥名苑 2室2厅 3600元,2室2厅,88.5,3600,40.678
圣奥领寓 3室2厅 3800元,3室2厅,106.93,3800,35.537
蓝桥名苑 2室1厅 3500元,2室1厅,85,3500,41.176
万象城悦府 2室1厅 15000元,2室1厅,89,15000,168.539
景芳三区 2室1厅 4300元,2室1厅,54,4300,79.63
水岸帝景 2室1厅 10500元,2室1厅,101,10500,103.96
金基晓庐 3室2厅 7500元,3室2厅,136,7500,55.147
东方君悦 3室1厅 24000元,3室1厅,188.45,24000,127.355
万象城悦府 3室2厅 25000元,3室2厅,196,25000,127.551
万象城悦玺 2室1厅 16000元,2室1厅,104,16000,153.846
精装修，拎包入住，高楼层，电梯房,2室1厅,85.46,3200,37.444
新城红郡， 毛坯房， 两房出租。,2室1厅,67.9,2000,29.455
新城时代广场 1室0厅 4500元,1室0厅,40.48,4500,111.166
长睦邻里人家东苑 2室1厅 3000元,2室1厅,69.34,3000,43.265
新风丽都北苑 2室1厅 3900元,2室1厅,60,3900,65.0
新风丽都北苑 2室1厅 4300元,2室1厅,80,4300,53.75
采荷小区红菱邨 2室1厅 4800元,2室1厅,55,4800,87.273
笕东嘉苑 3室1厅 5000元,3室1厅,90,5000,55.556
中豪国际 2室1厅 5000元,2室1厅,58,5000,86.207
丽江公寓 2室2厅 4350元,2室2厅,87.84,4350,49.522
锦江半岛 4室3厅 4950元,4室3厅,121.07,4950,40.885
阳光逸城精装两房，干净清爽，拎包入住,2室1厅,61.87,3300,53.338
金基晓庐 3室2厅 10000元,3室2厅,120,10000,83.333
南肖埠社区 3室1厅 5000元,3室1厅,93,5000,53.763
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
大家多立方 3室1厅 4500元,3室1厅,87.6,4500,51.37
中海御道 3室2厅 8500元,3室2厅,128,8500,66.406
滨江德信东方星城4居室 02卧,4室1厅,8.5,1630,191.765
城东新城板块自住精装三房两卫诚心出租,3室1厅,89,7000,78.652
建塘家苑 2室2厅 2900元,2室2厅,73,2900,39.726
滨江德信东方星城4居室 02卧,4室1厅,11.4,1960,171.93
近地铁电梯两房 配套成熟 家具家电齐全,2室1厅,73,4500,61.644
滨江德信东方星城5居室 06卧,5室1厅,15.1,1890,125.166
置鼎明珠1号 2室1厅 3000元,2室1厅,45,3000,66.667
南肖埠近庆春银泰 精装3室2卫带车位 地铁庆春广场站,3室2厅,129,7500,58.14
滨江德信东方星城5居室 01卧,5室1厅,14.3,2430,169.93
北城枫景园 2室1厅 2700元,2室1厅,62,2700,43.548
郡原相江公寓 3室2厅 4500元,3室2厅,89,4500,50.562
白云大厦 1室0厅 3100元,1室0厅,38.56,3100,80.394
置鼎明珠1号 3室1厅 2800元,3室1厅,45,2800,62.222
滨江德信东方星城5居室 05卧,5室1厅,5.5,1360,247.273
滨江德信东方星城5居室 03卧,5室1厅,7.3,1460,200.0
金色黎明一期 3室2厅 5200元,3室2厅,89,5200,58.427
首开武林8栋 3室1厅 5700元,3室1厅,89,5700,64.045
滨江德信东方星城4居室 01卧,4室1厅,16,2590,161.875
滨江德信东方星城4居室 05卧,4室1厅,17,1930,113.529
毛胚大仓库，品质小区，配套成熟，交通便利。,3室1厅,89.08,4000,44.903
蓝桥名苑 2室2厅 4500元,2室2厅,92,4500,48.913
淮矿东元府 3室1厅 6500元,3室1厅,86.93,6500,74.773
滨江德信东方星城5居室 01卧,5室1厅,14.3,2560,179.021
近物美 中医院 丁荷校区旁 天阳晴朗 中装三房 可合租,3室2厅,100,3750,37.5
世茂天宸 4室2厅 12000元,4室2厅,185,12000,64.865
海景城花园 4室1厅 4850元,4室1厅,119.46,4850,40.599
地铁绿城杨柳郡 3室2厅 6500元,3室2厅,105,6500,61.905
景芳新五区 1室2厅 4400元,1室2厅,55,4400,80.0
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
同协雅苑 2室1厅 3300元,2室1厅,68,3300,48.529
滨江曙光之城 3室1厅 5000元,3室1厅,89,5000,56.18
中企艮山府 2室1厅 6800元,2室1厅,78,6800,87.179
紫晶商务城 1室1厅 3300元,1室1厅,39,3300,84.615
江干三里亭 绿城 玉兰公寓 二室二厅,2室2厅,87.77,6500,74.057
三里亭 三里家园三区， 一室一厅一卫，简单装修。,1室1厅,87.31,3200,36.651
江干 地铁 城东新城 东方星城 西边套 采光好,3室1厅,122,6800,55.738
大世界五金城 3室1厅 5000元,3室1厅,136,5000,36.765
丁桥颐景园 2室2厅 3400元,2室2厅,75,3400,45.333
钱塘航空大厦 3室1厅 9500元,3室1厅,140.6,9500,67.568
中海御道 4室2厅 13000元,4室2厅,140,13000,92.857
龙湖武林九里 3室2厅 4166元,3室2厅,89,4166,46.809
九月庭院 3室2厅 5500元,3室2厅,126,5500,43.651
火车东站自住精装婚房出租大品牌家电,2室1厅,61,4600,75.41
德信大家钱江府 3室1厅 6500元,3室1厅,89,6500,73.034
淮矿东元府 3室1厅 6000元,3室1厅,90,6000,66.667
简单装修3房的，家电都有，目前可以直接拎包入住,3室1厅,89.09,2800,31.429
采荷洁莲  中间楼层 看房随时  家电齐全,1室1厅,40,3400,85.0
万象城悦玺 1室1厅 12000元,1室1厅,82.75,12000,145.015
城东新城 新上好房源 东方星城 高楼层 双卫生间,3室1厅,89,5500,61.798
全明户型 南北通透 中间楼层 采光视野好,2室1厅,90,6500,72.222
长睦锦苑 2室1厅 3100元,2室1厅,72,3100,43.056
龙湖名景台二期 3室1厅 4000元,3室1厅,89,4000,44.944
