标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
龙湖滟澜星座 1室0厅 4000元,1室0厅,53,4000,75.472
伊萨卡国际城浩泽园 5室2厅 8000元,5室2厅,199.52,8000,40.096
金隅观澜时代天筑 1室1厅 4200元,1室1厅,60,4200,70.0
"文泽路地铁口大都一房, 欢迎年轻的租户入住",1室1厅,37.53,2000,53.291
：天筑简装大两房房拎包入住看房方便,2室1厅,89,3300,37.079
新装修，全新出租，朝南双阳台干净清爽四房！,4室1厅,89,4800,53.933
保利湾天地大二房，自住精装，可看到江景，居住舒适,2室2厅,71.14,3200,44.982
一线江景精装公寓方便看房全新装修,1室1厅,52.02,2600,49.981
世茂广场地铁口 开发商精装酒店式单身公寓,1室0厅,47.37,2500,52.776
新装修，全新出租，朝南双阳台干净清爽四房！,3室1厅,89.58,4000,44.653
此房空置，诚心出租，楼层好，采光足,2室2厅,32,3300,103.125
金隅空港公馆 1室1厅 2800元,1室1厅,56,2800,50.0
房子是2房出租 楼层好  采光充足,1室1厅,88.08,3500,39.737
野风海天城，简装2房，价格优惠。,2室2厅,81,3000,37.037
地铁口400米，大两房房，采光充足，南北通透。,2室2厅,130.7,4500,34.43
杭州碧桂园，大型排屋。纯毛坯，可办公！,4室2厅,260,7500,28.846
金沙湖1号 2室1厅 4600元,2室1厅,64,4600,71.875
龙湖滟澜星座 1室1厅 5500元,1室1厅,59.55,5500,92.359
保利湾天地二期 2室2厅 3800元,2室2厅,97,3800,39.175
1号线地铁口世茂一期两房出租，原自住现出租 家电齐全,3室2厅,88.48,4800,54.25
一线江景 超大房间 舒适干净 随时入住,1室1厅,59,3100,52.542
中豪七格 酒店式公寓 两室跃层 随便带看 拎包入住,2室2厅,50,3800,76.0
野风海天城 2室1厅 3000元,2室1厅,100.2,3000,29.94
宋都晨光国际 3室2厅 4800元,3室2厅,89,4800,53.933
金隅空港 朝南采光大阳台 清爽装修 欢迎随时看房,1室1厅,55,2700,49.091
宋都晨光国际 3室1厅 6000元,3室1厅,89,6000,67.416
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
保利湾天地二期 2室2厅 3800元,2室2厅,97,3800,39.175
保利东湾 4室2厅 4300元,4室2厅,93,4300,46.237
景冉佳园 2室1厅 3000元,2室1厅,62.8,3000,47.771
龙湖滟澜星座 1室1厅 3500元,1室1厅,53,3500,66.038
世茂大三房  家具家电齐全 南北通透 近地铁,3室2厅,135,4500,33.333
世茂广场 一线江景 超大2房 舒适干净 随时入住,2室2厅,101,3900,38.614
此房属于小面积住宅，南北通透，采光充足,2室1厅,67.68,3300,48.759
龙湖滟澜山茗轩南区三期 2室1厅 5500元,2室1厅,86,5500,63.953
野风海天城 2室2厅 4500元,2室2厅,83.96,4500,53.597
宋都东郡国际，三房精装。拎包入住,3室2厅,90,5000,55.556
跃层酒店式公寓，交通出行方便。,2室1厅,42,4500,107.143
峻景湾精装三房 朝南两房双阳台 带地暖 适合居家自住,3室1厅,89.3,5000,55.991
保利东湾精装两房，视野开阔，环境优美，拎包入住。,2室1厅,60.52,3350,55.354
保利东湾 3室2厅 5000元,3室2厅,131.87,5000,37.916
龙湖滟澜星座 1室1厅 3300元,1室1厅,53,3300,62.264
地铁口优质大两房   精装全配  南北通透,2室2厅,89.46,4000,44.713
观澜时代云邸苑 5室2厅 4500元,5室2厅,214,4500,21.028
单身公寓，家具家电齐全，拎包入住，配套成熟,1室1厅,46,2600,56.522
龙湖滟澜山二期小洋房，环境优美，户型大，,5室2厅,171,16000,93.567
金隅空港，精装修全配，随时入住看房,2室1厅,61.5,3200,52.033
地铁口 宋都晨光3房2卫 简单装修 随时看房入住,3室2厅,89.7,4800,53.512
世茂广场 地铁口上 超大2房 舒适干净 随时入住,2室1厅,100.8,3900,38.69
金隅空港，精装修全配，随时入住看房,1室1厅,55,2800,50.909
世茂大两房 简单装修  户型方正   适合居家自住,2室2厅,87,3000,34.483
一线江景精装公寓方便看房全新装修,1室1厅,52.02,2600,49.981
世茂广场地铁口 开发商精装酒店式单身公寓,1室0厅,47.37,2500,52.776
新装修，全新出租，朝南双阳台干净清爽四房！,3室1厅,89.58,4000,44.653
龙湖滟澜山茗轩南区三期 4室1厅 7500元,4室1厅,139,7500,53.957
朝南2房采光大阳台 清爽装修 欢迎随时看房,1室1厅,60,2800,46.667
"文泽路地铁口大都一房, 欢迎年轻的租户入住",1室1厅,37.53,2000,53.291
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
铭和苑桂雨坊 2室2厅 3600元,2室2厅,93,3600,38.71
铭和苑桂雨坊 3室1厅 4200元,3室1厅,87.48,4200,48.011
世茂广场 地铁口上 超大2房 舒适干净 随时入住,2室1厅,100.8,3900,38.69
金隅空港，精装修全配，随时入住看房,1室1厅,55,2800,50.909
世茂江滨商业中心 1室1厅 2900元,1室1厅,57,2900,50.877
房子是2房出租 楼层好  采光充足,1室1厅,88.08,3500,39.737
朗诗国际，精品大三房，拎包入住。,4室2厅,176.36,7200,40.826
云水地铁口精装修单身公寓，拎包入住,1室1厅,50.85,2300,45.231
三室二卫 大面积 适合一家居住 地段不错 在高沙后,3室2厅,125.44,5500,43.846
世茂江滨商业中心 1室1厅 3000元,1室1厅,56.3,3000,53.286
龙湖滟澜星座 1室0厅 4000元,1室0厅,53,4000,75.472
保利江语海，精装两房，学 区 房！,2室1厅,87,4000,45.977
龙湖二期一室一厅 烧燃气 边套户型 南北通透,1室1厅,59.97,4400,73.37
世茂大两房 简单装修  户型方正   适合居家自住,2室2厅,87,3000,34.483
宝龙城市广场 3室1厅 3600元,3室1厅,45,3600,80.0
金沙居 1室1厅 3200元,1室1厅,67.64,3200,47.309
世茂江滨花园峻景湾 2室1厅 2800元,2室1厅,82,2800,34.146
中装大三房  近地铁  适合一大家人和朋友合租,3室2厅,134.97,4200,31.118
世茂江滨花园碧景湾 2室1厅 2900元,2室1厅,87.45,2900,33.162
朗诗两房跃层中装，拎包入住的0,2室1厅,81,3300,40.741
西子阳光星座 一室户 单间带阳台 出入方便 随时带看,1室0厅,34.49,2500,72.485
保利玫瑰湾 3室2厅 4500元,3室2厅,108,4500,41.667
朝南2房采光大阳台 清爽装修 欢迎随时看房,1室1厅,60,2800,46.667
保利湾天地 一线江景 超大2房 舒适干净 随时入住,3室2厅,131.9,4800,36.391
朗诗国际，精品2房loft，拎包入住。,2室1厅,89,4800,53.933
金隅空港公馆 1室1厅 2600元,1室1厅,55.14,2600,47.153
保利鹭沙郡府 4室2厅 10000元,4室2厅,237,10000,42.194
世茂江滨商业中心 1室1厅 3000元,1室1厅,56.3,3000,53.286
三房简单装修 楼层好 采光好看房方便,2室2厅,89,3000,33.708
保利东湾 一线江景 超大2房 舒适干净 随时入住,2室2厅,70,3600,51.429
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
峻景湾精装三房 朝南两房双阳台 带地暖 适合居家自住,3室1厅,89.3,5000,55.991
保利东湾精装两房，视野开阔，环境优美，拎包入住。,2室1厅,60.52,3350,55.354
保利东湾 3室2厅 5000元,3室2厅,131.87,5000,37.916
世茂广场 地铁口上 超大2房 舒适干净 随时入住,2室1厅,100.8,3900,38.69
金隅空港，精装修全配，随时入住看房,1室1厅,55,2800,50.909
野风海天城 2室2厅 4500元,2室2厅,83.96,4500,53.597
宋都东郡国际，三房精装。拎包入住,3室2厅,90,5000,55.556
跃层酒店式公寓，交通出行方便。,2室1厅,42,4500,107.143
宝龙城市广场 3室1厅 3600元,3室1厅,45,3600,80.0
世茂江滨花园峻景湾 2室1厅 2800元,2室1厅,82,2800,34.146
伊萨卡国际城浩泽园 2室1厅 4200元,2室1厅,89,4200,47.191
金隅空港公馆 1室1厅 2800元,1室1厅,52,2800,53.846
龙湖滟澜山澜轩 1室1厅 4500元,1室1厅,59.7,4500,75.377
世茂大两房 简单装修  户型方正   适合居家自住,2室2厅,87,3000,34.483
金沙居 1室1厅 3200元,1室1厅,67.64,3200,47.309
朗诗国际，精品大三房，拎包入住。,4室2厅,176.36,7200,40.826
云水地铁口精装修单身公寓，拎包入住,1室1厅,50.85,2300,45.231
世茂江滨花园碧景湾 2室1厅 2900元,2室1厅,87.45,2900,33.162
朗诗两房跃层中装，拎包入住的0,2室1厅,81,3300,40.741
中装大三房  近地铁  适合一大家人和朋友合租,3室2厅,134.97,4200,31.118
龙湖二期一室一厅 烧燃气 边套户型 南北通透,1室1厅,59.97,4400,73.37
三室二卫 大面积 适合一家居住 地段不错 在高沙后,3室2厅,125.44,5500,43.846
保利江语海，精装两房，学 区 房！,2室1厅,87,4000,45.977
西子阳光星座 一室户 单间带阳台 出入方便 随时带看,1室0厅,34.49,2500,72.485
保利玫瑰湾 3室2厅 4500元,3室2厅,108,4500,41.667
伊萨卡国际城浩泽园3居室 02卧,3室1厅,8.7,1330,152.874
龙湖滟澜星座1居室,1室1厅,64.21,4590,71.484
龙湖滟澜星座 1室1厅 4000元,1室1厅,55,4000,72.727
金沙学府4居室 01卧,4室1厅,14,1590,113.571
龙湖滟澜星座1居室,1室1厅,53,4590,86.604
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
"文泽路地铁口一房精装, 欢迎年轻的租户入住",1室1厅,49.1,3000,61.1
"文泽路地铁口一房精装, 欢迎年轻的租户入住",1室1厅,37.53,2200,58.62
世茂江滨商业中心 1室1厅 2400元,1室1厅,38.45,2400,62.419
世茂江滨商业中心 1室1厅 2500元,1室1厅,46.58,2500,53.671
宋都东郡排屋，简装，大面积的可以办公，,5室3厅,280,10000,35.714
杭州碧桂园，三房出租。拎包入住。,3室2厅,89,3500,39.326
梦琴湾，精装大三房，两卫！拎包入住,3室2厅,148,5500,37.162
伊萨卡地铁口精装3房2卫，自住装修配套,3室2厅,132,5500,41.667
金沙居，精品房。拎包入住。。。,1室1厅,68,3000,44.118
宋都东郡国际，简装可以拎包入住，配套交通完善！！,3室1厅,89,2500,28.09
世茂江滨商业中心 1室1厅 2700元,1室1厅,47,2700,57.447
福雷德广场艾肯金座 1室1厅 2400元,1室1厅,42,2400,57.143
福雷德广场艾肯金座 1室1厅 2400元,1室1厅,42,2400,57.143
保利东湾 5室1厅 6500元,5室1厅,136.47,6500,47.63
保利东湾 3室2厅 4100元,3室2厅,89,4100,46.067
保利东湾精装两房，视野开阔，舒适干净，拎包入住,2室1厅,88.87,3800,42.759
世茂江滨商业中心 1室0厅 2500元,1室0厅,38.76,2500,64.499
保利东湾 2室2厅 3000元,2室2厅,77,3000,38.961
多蓝水岸大面积三房两卫，户型方正，安心物业。,3室2厅,139,4500,32.374
金沙学府，大三房简单出租。6L风景独好！！！,3室2厅,138,4200,30.435
世茂江滨商业中心 1室1厅 2500元,1室1厅,44.78,2500,55.828
宝龙云滨湾纯毛坯 ，大户型，可办公，配套齐全。,4室2厅,212.96,9000,42.261
伊萨卡国际城浩泽园 2室1厅 3800元,2室1厅,88,3800,43.182
宋都东郡国际4房89方，可以合租，4000包物业包网费,4室1厅,89,3700,41.573
湾天地敞亮客厅，LOFT结构，只租3500，居住舒适,2室2厅,94.24,3500,37.139
保利东湾精装大两房，视野开阔，环境优美，拎包入住。,2室2厅,89,4500,50.562
保利东湾 3室1厅 5000元,3室1厅,92,5000,54.348
泰美国际大厦 1室1厅 3300元,1室1厅,54.53,3300,60.517
简装二房出租，楼层好，诚心出租。,2室2厅,88,3300,37.5
金沙居 2室2厅 3400元,2室2厅,72,3400,47.222
