标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
中国铁建江南国际城5居室 03卧,5室1厅,10.2,1690,165.686
绿都金域东方 4室2厅 6800元,4室2厅,123,6800,55.285
中国铁建江南国际城5居室 01卧,5室1厅,22.3,2690,120.628
【潇湘公寓】，东西齐全，看房方便,3室2厅,120,5000,41.667
中国铁建江南国际城5居室 05卧,5室1厅,9.5,1760,185.263
中国铁建江南国际城4居室 02卧,4室1厅,14.2,1990,140.141
牛脚湾住宅小区 2室1厅 2500元,2室1厅,54.07,2500,46.236
丰润家园3居室 03卧,3室1厅,9.3,1630,175.269
绿都泰富广场 1室1厅 2400元,1室1厅,48.43,2400,49.556
中国铁建江南国际城5居室 05卧,5室1厅,9.8,1630,166.327
绿都金域东方 4室2厅 5500元,4室2厅,132,5500,41.667
中国铁建江南国际城5居室 01卧,5室1厅,21,2890,137.619
丰润家园5居室 03卧,5室1厅,11.9,1660,139.496
中国铁建江南国际城5居室 06卧,5室1厅,18.3,2090,114.208
低租金，首*次出租，房东诚心出租！,1室1厅,49.02,2600,53.04
精装修，户型好，楼层好，看房方便,3室1厅,90,4900,54.444
鸿兴城巧克力公馆 3室1厅 4400元,3室1厅,45,4400,97.778
绿都御景蓝湾 3室2厅 4000元,3室2厅,88.9,4000,44.994
两房朝南&ensp;温馨如家&ensp;阳光充足&ensp;方便看房,3室1厅,86.26,4500,52.168
绿城西子郁金香岸 4室2厅 6000元,4室2厅,170,6000,35.294
家具齐全三房二卫 全明户型 楼层好 采光充足看房方便,3室2厅,89,6500,73.034
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
绿都金域东方 3室2厅 3500元,3室2厅,89,3500,39.326
绿都金域东方 3室2厅 2500元,3室2厅,88.55,2500,28.233
顺发和美家 3室2厅 5000元,3室2厅,90,5000,55.556
天汇园 7室0厅 9200元,7室0厅,217.73,9200,42.254
金域三江 2室1厅 3000元,2室1厅,100,3000,30.0
融创印时代 4室2厅 4500元,4室2厅,125,4500,36.0
三层排屋，有80方露台，独立车库，拎包入住,3室2厅,220.92,7200,32.591
滨江东方海岸 3室2厅 4000元,3室2厅,89,4000,44.944
中栋国际 1室1厅 4600元,1室1厅,56.66,4600,81.186
丽晶国际 3室1厅 11000元,3室1厅,140,11000,78.571
高运高庄 3室2厅 3400元,3室2厅,89,3400,38.202
纯毛坯，次新小区，二号线朝阳站边上，交通方便,3室1厅,89,3000,33.708
绿都御景蓝湾 3室2厅 3000元,3室2厅,110,3000,27.273
隐龙湾 5室2厅 8300元,5室2厅,276.74,8300,29.992
绿都金域东方 3室2厅 2700元,3室2厅,88.32,2700,30.571
滨江东方海岸 3室2厅 5000元,3室2厅,139,5000,35.971
绿都金域东方 3室2厅 2800元,3室2厅,88.32,2800,31.703
顺发和美家 2室2厅 6500元,2室2厅,89.26,6500,72.821
朝阳银座 1室1厅 2500元,1室1厅,47,2500,53.191
房东诚心出租，价格可谈，拎包入住！,3室1厅,80.81,3500,43.311
丽晶国际，一线江景，坐看钱塘潮起潮落,7室0厅,150,18000,120.0
世纪城地铁口春和钱塘精装修大四房便宜出租带车位哦。,4室1厅,165,7700,46.667
新城香悦奥府 4室2厅 6500元,4室2厅,130,6500,50.0
新世界柏丽轩 1室1厅 2600元,1室1厅,68,2600,38.235
丰润家园 2室2厅 4500元,2室2厅,75,4500,60.0
新城香悦奥府 4室2厅 7600元,4室2厅,130,7600,58.462
大成名座 3室1厅 5200元,3室1厅,120,5200,43.333
金帝金色钱塘 4室2厅 7500元,4室2厅,130.88,7500,57.304
春和钱塘，绿城物业，品质小区，3房1卫，,3室2厅,87,6000,68.966
金马同盛精装修，优质房源出租，,1室0厅,51.83,2800,54.023
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
中国铁建江南国际城5居室 03卧,5室1厅,10.1,1690,167.327
林之语 4室2厅 5000元,4室2厅,205,5000,24.39
名扬阁 3室2厅 3500元,3室2厅,115,3500,30.435
滨水名庭 3室2厅 5800元,3室2厅,121,5800,47.934
宝盛世纪中心 1室0厅 4000元,1室0厅,42,4000,95.238
名扬阁 3室1厅 4000元,3室1厅,115,4000,34.783
中国铁建江南国际城5居室 05卧,5室1厅,10.32,1660,160.853
鸿兴城巧克力公馆 3室2厅 3700元,3室2厅,45,3700,82.222
融创东南海 1室1厅 1603元,1室1厅,33,1603,48.576
中国铁建江南国际城5居室 06卧,5室1厅,14.72,1990,135.19
中国铁建江南国际城4居室 01卧,4室1厅,21.2,2930,138.208
中国铁建江南国际城5居室 05卧,5室1厅,10,1660,166.0
中国铁建江南国际城4居室 05卧,4室1厅,17.7,2130,120.339
湘湖九号 高层俩房 精装修 拎包入住 房东诚心,2室2厅,56.33,4500,79.886
景区房 大露台 环境优美 心仪租房房源就看这里,3室2厅,120,5500,45.833
一楼大四房！带俩卫生间大面积舒适住宅,4室2厅,144.91,10000,69.008
得力名望府 3室1厅 4000元,3室1厅,90,4000,44.444
从未出租，领包入住，电瓶车租期免费使用,2室1厅,75,3300,44.0
绿都金域东方 3室2厅 3600元,3室2厅,89,3600,40.449
中国铁建江南国际城5居室 03卧,5室1厅,10.37,1690,162.97
加州阳光 原户型小面积住宅 比公寓更舒适,1室1厅,37,2600,70.27
学士桥优质房源出租，随时看房。,2室2厅,130,3500,26.923
盛元蓝爵国际 5室2厅 12000元,5室2厅,200,12000,60.0
港汇中心 1室1厅 4500元,1室1厅,54,4500,83.333
绿都金域东方 3室1厅 3000元,3室1厅,89,3000,33.708
绿都金域东方 3室2厅 3000元,3室2厅,84.89,3000,35.34
万科大家世纪之光 1室0厅 10800元,1室0厅,45,10800,240.0
萧然人家 2室1厅 4500元,2室1厅,108,4500,41.667
房东精装用心，地理位置优越方便出行，环境好,1室1厅,46,3200,69.565
闻堰价格便宜的两房价格实惠 看房方便,2室1厅,85.42,3500,40.974
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
中国铁建江南国际城 4室2厅 7500元,4室2厅,139,7500,53.957
顺发和美家 3室2厅 3500元,3室2厅,90,3500,38.889
龙湖旭辉春江悦茗 4室1厅 8000元,4室1厅,89,8000,89.888
万科金辰之光 4室2厅 9000元,4室2厅,89,9000,101.124
凯丽晶座 3室1厅 3900元,3室1厅,76,3900,51.316
万科金辰之光 4室2厅 10000元,4室2厅,128,10000,78.125
三江新村 2室1厅 3500元,2室1厅,62,3500,56.452
绿都御景蓝湾 4室2厅 5500元,4室2厅,112,5500,49.107
阳光城上府 3室2厅 6500元,3室2厅,89,6500,73.034
摩卡商务馆 1室1厅 2400元,1室1厅,48.86,2400,49.12
恒泰御庭园 3室2厅 7000元,3室2厅,150,7000,46.667
名仁家园 3室2厅 4700元,3室2厅,95.8,4700,49.061
金马飞鸟集 1室1厅 3000元,1室1厅,43.02,3000,69.735
港汇中心 2室2厅 10500元,2室2厅,180,10500,58.333
山阴小区 3室1厅 3800元,3室1厅,89,3800,42.697
绿都御景蓝湾 3室2厅 4500元,3室2厅,89,4500,50.562
绿都御景蓝湾 4室1厅 4000元,4室1厅,89,4000,44.944
湘湖家园 2室1厅 4000元,2室1厅,60,4000,66.667
金地天逸 3室2厅 7000元,3室2厅,118,7000,59.322
三江花园 3室2厅 6500元,3室2厅,148,6500,43.919
丰瑞南苑 3室2厅 3900元,3室2厅,120,3900,32.5
阳光城上府 3室2厅 8000元,3室2厅,89,8000,89.888
佳丰南苑 2室1厅 4300元,2室1厅,85,4300,50.588
宝盛世纪中心 1室1厅 4800元,1室1厅,48,4800,100.0
恒泰御庭园 3室2厅 7000元,3室2厅,139,7000,50.36
南润名座 3室1厅 4500元,3室1厅,102,4500,44.118
绿城丁香公馆 1室1厅 4800元,1室1厅,69.98,4800,68.591
威尼斯水城 2室1厅 3500元,2室1厅,75,3500,46.667
摩卡商务馆 1室1厅 3100元,1室1厅,68,3100,45.588
隐龙湾 1室1厅 3300元,1室1厅,68,3300,48.529
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
金帝金色钱塘 2室1厅 5300元,2室1厅,90,5300,58.889
丽晶国际 3室1厅 16800元,3室1厅,150,16800,112.0
融创东南海 4室1厅 5000元,4室1厅,97,5000,51.546
众安嘉润公馆 1室0厅 4000元,1室0厅,56.8,4000,70.423
华瑞晴庐 4室2厅 7000元,4室2厅,90,7000,77.778
华瑞晴庐 4室2厅 6200元,4室2厅,89,6200,69.663
装修清爽，家电齐全，拎包入住，适合一家人。同事合租,4室1厅,89,6500,73.034
华瑞晴庐品质小区，边套，家具家电齐全，拎包入住。,3室2厅,90.34,5500,60.881
新白马公寓 3室2厅 7000元,3室2厅,138,7000,50.725
金马同盛 1室1厅 2400元,1室1厅,40,2400,60.0
丰润家园 2室1厅 4400元,2室1厅,70,4400,62.857
新白马公寓 2室2厅 5200元,2室2厅,99.9,5200,52.052
水亭址 2室1厅 3000元,2室1厅,56.88,3000,52.743
绿都御景蓝湾 3室2厅 3500元,3室2厅,89,3500,39.326
世纪晶钻 1室1厅 3000元,1室1厅,45,3000,66.667
融创东南海 3室2厅 4000元,3室2厅,78,4000,51.282
融创东南海 4室2厅 4800元,4室2厅,89,4800,53.933
南岸花城 4室2厅 5500元,4室2厅,200,5500,27.5
绿都金域东方 3室2厅 2300元,3室2厅,89,2300,25.843
金地德圣中心 2室1厅 3600元,2室1厅,40.4,3600,89.109
金地德圣中心 1室1厅 3500元,1室1厅,49.28,3500,71.023
中栋国际 1室1厅 3600元,1室1厅,56.66,3600,63.537
金地德圣中心 1室1厅 2650元,1室1厅,49.34,2650,53.709
科尔世纪外滩 3室1厅 3500元,3室1厅,110,3500,31.818
德信泊林春天 4室1厅 5500元,4室1厅,95,5500,57.895
融创东南海 4室2厅 5000元,4室2厅,125,5000,40.0
融创东南海 4室2厅 4500元,4室2厅,139,4500,32.374
万科大家世纪之光 1室0厅 12000元,1室0厅,53,12000,226.415
科尔世纪外滩 4室2厅 4200元,4室2厅,139,4200,30.216
融创东南海 3室1厅 3800元,3室1厅,89,3800,42.697
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
南润名座 2室2厅 3500元,2室2厅,78,3500,44.872
顺发和美家 1室1厅 3000元,1室1厅,35,3000,85.714
丰润家园 2室2厅 4800元,2室2厅,78,4800,61.538
天汇园星云地带 1室1厅 3000元,1室1厅,50,3000,60.0
广宁小区 2室2厅 3500元,2室2厅,76,3500,46.053
恒大帝景 5室2厅 6000元,5室2厅,136.68,6000,43.898
房间干净素雅，离人民路地铁站200m,3室1厅,72,3800,52.778
丽晶国际交通便利 双层出租 适合办公 有厨卫 大阳台,2室0厅,81.39,7500,92.149
萧山宝龙城市广场 1室1厅 3200元,1室1厅,42,3200,76.19
绿都金域东方 4室2厅 3800元,4室2厅,125,3800,30.4
业主诚心出租，诚心客户价格可以再商量！！,2室0厅,46,2600,56.522
房子精装修，出行方便，生活配套完善,1室1厅,57.74,3000,51.957
众安嘉润公馆 1室1厅 4000元,1室1厅,45.13,4000,88.633
朝阳银座 1室1厅 2600元,1室1厅,47,2600,55.319
精装公寓 一线奥体 濒临钱塘江 配套齐全 看房方便,1室1厅,70.1,5000,71.327
房东诚心出租，两室一厅一厨一卫，采光良好！,2室1厅,59.62,3300,55.351
盈一佳苑 3室1厅 5000元,3室1厅,100,5000,50.0
佳境天城成合苑 4室2厅 7500元,4室2厅,139.96,7500,53.587
融创东南海 5室2厅 6000元,5室2厅,139,6000,43.165
心意广场 3室2厅 6800元,3室2厅,190,6800,35.789
星际公寓 2室2厅 3100元,2室2厅,95,3100,32.632
众安朝阳8号 3室2厅 3500元,3室2厅,89,3500,39.326
绿都御景蓝湾 3室1厅 6000元,3室1厅,89,6000,67.416
金地德圣中心 1室1厅 3800元,1室1厅,50,3800,76.0
顺发和美家 3室1厅 7300元,3室1厅,89,7300,82.022
绿都金域东方 3室2厅 2700元,3室2厅,88.32,2700,30.571
小巧户型      精装     小型居家,1室0厅,40.13,2900,72.265
绿都御景蓝湾 4室2厅 3000元,4室2厅,89,3000,33.708
绿都金域东方 3室1厅 2500元,3室1厅,88.32,2500,28.306
隐龙湾 5室2厅 9000元,5室2厅,234,9000,38.462
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
一室一厅，户型方正，电梯房，拎包入住！,1室1厅,56,3200,57.143
中国铁建江南国际城 4室2厅 9000元,4室2厅,118,9000,76.271
金地德圣中心 2室1厅 3900元,2室1厅,60,3900,65.0
广元公寓 3室2厅 3900元,3室2厅,136,3900,28.676
德意中兴广场 3室2厅 6800元,3室2厅,133,6800,51.128
【东旸桥公寓】交通便捷，拎包入住、,3室1厅,79.46,3500,44.047
众安嘉润公馆 1室1厅 5500元,1室1厅,64,5500,85.938
广元公寓 2室1厅 3200元,2室1厅,124,3200,25.806
朝阳银座 1室1厅 2500元,1室1厅,63.5,2500,39.37
顺发和美家 2室1厅 4600元,2室1厅,80.5,4600,57.143
美之园西区 4室2厅 5000元,4室2厅,139,5000,35.971
北干二苑 3室1厅 4000元,3室1厅,85,4000,47.059
丰润家园 1室0厅 2250元,1室0厅,25,2250,90.0
融创东南海 3室2厅 5000元,3室2厅,89,5000,56.18
景苑公寓 3室2厅 5000元,3室2厅,120,5000,41.667
花城名苑 4室2厅 4100元,4室2厅,153,4100,26.797
顺发恒园 3室1厅 6000元,3室1厅,89,6000,67.416
广德小区 3室1厅 4000元,3室1厅,90,4000,44.444
丽晶国际 5室2厅 20000元,5室2厅,145,20000,137.931
钱江世纪城，毛坯出租，可长租，适合拆迁户,3室2厅,125.32,3000,23.939
东西已经全部搬走了  无租客  空置着的  看房方便,1室2厅,49.5,3800,76.768
众安嘉润公馆 1室1厅 4600元,1室1厅,62.34,4600,73.789
朝阳银座 1室1厅 2800元,1室1厅,57.72,2800,48.51
湘湖人家 2室2厅 4200元,2室2厅,84.59,4200,49.651
顺发美哉美城 2室2厅 5800元,2室2厅,80,5800,72.5
新世界柏丽轩位于浙江省杭州市萧山区通惠北路,1室1厅,68.52,2500,36.486
绿都金域东方 3室1厅 4500元,3室1厅,89,4500,50.562
众安嘉润公馆 1室1厅 4000元,1室1厅,45,4000,88.889
丰润家园 1室1厅 1700元,1室1厅,25,1700,68.0
金地德圣中心 1室1厅 4300元,1室1厅,59,4300,72.881
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
绿都御景蓝湾 2室1厅 2300元,2室1厅,68,2300,33.824
盈一佳苑 2室1厅 4000元,2室1厅,60,4000,66.667
朝阳银座 1室1厅 3000元,1室1厅,46.73,3000,64.199
金地德圣中心 1室1厅 3800元,1室1厅,50,3800,76.0
姚江岸家园 3室2厅 3500元,3室2厅,149,3500,23.49
三水一生 3室2厅 4300元,3室2厅,126,4300,34.127
绿都御景蓝湾 4室2厅 5000元,4室2厅,89,5000,56.18
西山公寓 3室2厅 4500元,3室2厅,124,4500,36.29
广泽小区 3室1厅 3500元,3室1厅,75,3500,46.667
绿都御景蓝湾 3室2厅 5500元,3室2厅,89,5500,61.798
绿都湖滨花园 3室1厅 8000元,3室1厅,131.55,8000,60.813
新南郡嘉苑 3室2厅 5000元,3室2厅,130,5000,38.462
南岸花城 3室2厅 5000元,3室2厅,140,5000,35.714
明华花园 3室1厅 4500元,3室1厅,107,4500,42.056
湘湖人家 3室2厅 5000元,3室2厅,135,5000,37.037
绿都御景蓝湾 3室2厅 5000元,3室2厅,89,5000,56.18
万科大家世纪之光 1室0厅 12000元,1室0厅,61.24,12000,195.95
尚美名府 2室1厅 3600元,2室1厅,80,3600,45.0
自住装修，精装3房，房东诚心出租。,3室2厅,137.9,7000,50.761
万和国际，两室一厅，盈丰路地铁口,2室1厅,74.68,5000,66.952
阳光城上府 1室0厅 2100元,1室0厅,20,2100,105.0
高桥小区，诚心出租，看房方便，需提前联系.,2室1厅,57.9,2800,48.359
开元名郡 3室1厅 3000元,3室1厅,89,3000,33.708
绿都金域东方 4室2厅 3000元,4室2厅,121,3000,24.793
丰润家园2居室 02卧,2室1厅,9.6,1930,201.042
丰润家园5居室 03卧,5室1厅,11.9,1630,136.975
华瑞湘湖美地 3室1厅 4500元,3室1厅,135.4,4500,33.235
育才西苑 3室1厅 3500元,3室1厅,86.5,3500,40.462
众安国泰花园 4室2厅 7500元,4室2厅,231.03,7500,32.463
房东诚意出租  户型好 通风 透气，实惠单间,1室1厅,48,2500,52.083
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
金马飞鸟集 1室1厅 3000元,1室1厅,43.02,3000,69.735
绿都御景蓝湾 3室2厅 3500元,3室2厅,89,3500,39.326
科尔世纪外滩 4室2厅 4200元,4室2厅,139,4200,30.216
德信泊林春天 4室1厅 5500元,4室1厅,95,5500,57.895
融创东南海 3室1厅 3800元,3室1厅,89,3800,42.697
融创东南海 4室2厅 5000元,4室2厅,125,5000,40.0
隐龙湾 1室1厅 3000元,1室1厅,56,3000,53.571
融创东南海 2室2厅 4200元,2室2厅,78,4200,53.846
潘水少量两房户型，中等装修，卫生已经打扫好,2室1厅,64,3000,46.875
丰瑞南苑 3室1厅 5300元,3室1厅,80,5300,66.25
丰瑞南苑 2室1厅 4000元,2室1厅,60,4000,66.667
太古广场 1室1厅 3000元,1室1厅,48.5,3000,61.856
科尔世纪外滩 3室1厅 3000元,3室1厅,89,3000,33.708
中誉现代城 1室0厅 2500元,1室0厅,48,2500,52.083
新白马公寓 1室0厅 1500元,1室0厅,15,1500,100.0
保利霞飞郡 2室1厅 3600元,2室1厅,70,3600,51.429
丰润家园 3室1厅 5400元,3室1厅,90,5400,60.0
世纪晶钻 1室1厅 3300元,1室1厅,47,3300,70.213
凯悦花园 4室2厅 6000元,4室2厅,128,6000,46.875
宝盛世纪中心 1室1厅 4000元,1室1厅,44.13,4000,90.641
顺发恒园 4室2厅 7000元,4室2厅,128,7000,54.688
港汇中心 2室1厅 5000元,2室1厅,108.92,5000,45.905
业主诚心出租，小区位于地铁口出行很方便！！,1室1厅,30.38,2800,92.166
毛坯房 自由装修 房东诚心出租,3室2厅,87.4,3600,41.19
朝阳银座 1室1厅 3500元,1室1厅,57.74,3500,60.617
四季花城 大面积 装修老式 素雅,3室2厅,130.85,5000,38.212
绿都百瑞广场 4室1厅 7600元,4室1厅,193,7600,39.378
绿都御景蓝湾 4室2厅 3000元,4室2厅,89,3000,33.708
丰润家园 2室1厅 4100元,2室1厅,70,4100,58.571
朝阳银座 1室1厅 2600元,1室1厅,47,2600,55.319
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
绿都御景蓝湾 3室2厅 3500元,3室2厅,120,3500,29.167
朝阳银座 1室1厅 2800元,1室1厅,46.73,2800,59.919
融创东南海 5室2厅 4000元,5室2厅,139,4000,28.777
名称大厦 房东诚心出租 求诚心租客,1室1厅,42.54,2600,61.119
绿都御景蓝湾 3室2厅 3000元,3室2厅,89,3000,33.708
朝阳银座 1室1厅 2600元,1室1厅,57.92,2600,44.89
开元加州阳光小区 1室0厅 2300元,1室0厅,35,2300,65.714
中栋国际 2室1厅 4600元,2室1厅,74,4600,62.162
丰润家园 2室2厅 4300元,2室2厅,65,4300,66.154
潘水苑 3室2厅 4000元,3室2厅,113,4000,35.398
崇化住宅区 2室1厅 2700元,2室1厅,56,2700,48.214
朝阳银座 1室1厅 2500元,1室1厅,47.37,2500,52.776
滨江.金色江南，南北通透，4房2卫，精装修，拎包入住,4室2厅,127,8500,66.929
融创东南海 5室2厅 6000元,5室2厅,139,6000,43.165
江南摩卡大面积四房，家具齐全，拎包入住,4室2厅,129.12,6000,46.468
德圣博奥城超大面积户型方正的舒适三居室,3室2厅,131.4,6600,50.228
融创东南海 6室2厅 7500元,6室2厅,139,7500,53.957
融创东南海 5室2厅 6500元,5室2厅,98,6500,66.327
出行方便，近曹家桥地铁站，装修好的，家电齐全,1室1厅,55.89,2700,48.309
精装公寓 一线奥体 濒临钱塘江 配套齐全 看房方便,1室2厅,71.5,4800,67.133
丰润家园 1室0厅 2000元,1室0厅,25,2000,80.0
广泽小区 3室1厅 3500元,3室1厅,80,3500,43.75
建设一路地铁口，民水民电，全新装修，品牌家电,3室2厅,83,5600,67.47
丰润家园 1室0厅 1700元,1室0厅,25,1700,68.0
绿都御景蓝湾 3室2厅 3000元,3室2厅,89,3000,33.708
朝阳银座 1室1厅 2800元,1室1厅,46.73,2800,59.919
融创东南海 3室1厅 3000元,3室1厅,89.67,3000,33.456
恒泰御庭园 5室2厅 12000元,5室2厅,181.68,12000,66.05
全新装修，首租！地铁口精装三房！家具家电齐全,3室1厅,96,6000,62.5
崇化住宅区 2室1厅 2700元,2室1厅,56,2700,48.214
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
价格实惠，可以长期稳定居住。楼盘位置优越，便利,3室1厅,87.93,1900,21.608
金域兰庭 2室1厅 3000元,2室1厅,85.75,3000,34.985
绿都御景蓝湾 3室2厅 2800元,3室2厅,89,2800,31.461
高运高庄 3室2厅 5000元,3室2厅,86,5000,58.14
绿城丁香公馆 1室1厅 3800元,1室1厅,65,3800,58.462
融创东南海 3室2厅 4500元,3室2厅,125,4500,36.0
绿都金域东方 3室1厅 2600元,3室1厅,89,2600,29.213
绿都四季华庭 3室2厅 3000元,3室2厅,89,3000,33.708
银通大厦 1室1厅 2300元,1室1厅,51,2300,45.098
房东诚心出租，房子真心喜欢，价格可谈,2室2厅,80.29,3800,47.328
众安朝阳8号 3室2厅 4800元,3室2厅,120,4800,40.0
金域兰庭 3室2厅 2800元,3室2厅,91.38,2800,30.641
金域兰庭 3室2厅 4200元,3室2厅,89,4200,47.191
丰北二苑 2室1厅 4200元,2室1厅,80,4200,52.5
得力名望府 3室2厅 4600元,3室2厅,89.63,4600,51.322
丰润家园 4室1厅 6000元,4室1厅,150,6000,40.0
九悦江南 1室0厅 1700元,1室0厅,25,1700,68.0
金地天逸 3室2厅 6900元,3室2厅,98.37,6900,70.143
港汇中心 2室0厅 4200元,2室0厅,70,4200,60.0
湘湖人家 3室2厅 2500元,3室2厅,140,2500,17.857
丽晶国际 4室3厅 15500元,4室3厅,140,15500,110.714
恒瑞名座，精装2房，拎包入住，房东诚心出租。,2室2厅,80.33,4200,52.284
绿都金域东方 3室2厅 2500元,3室2厅,88.55,2500,28.233
绿都四季华庭 3室2厅 3300元,3室2厅,138,3300,23.913
三江花园 2室2厅 4200元,2室2厅,95.42,4200,44.016
高桥小区 3室2厅 4500元,3室2厅,134,4500,33.582
南润名座，出行方便，生活配套完善，业主诚租,1室1厅,29.42,1950,66.281
天汇园星云地带 1室1厅 2900元,1室1厅,53.31,2900,54.399
绿都御景蓝湾 6室3厅 8100元,6室3厅,130,8100,62.308
华瑞晴庐 3室1厅 5500元,3室1厅,89,5500,61.798
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
金地德圣中心 1室1厅 3500元,1室1厅,40,3500,87.5
众安嘉润公馆 1室1厅 4600元,1室1厅,64.56,4600,71.252
绿都御景蓝湾 3室2厅 2800元,3室2厅,89,2800,31.461
大成名座 3室1厅 5200元,3室1厅,120,5200,43.333
金帝金色钱塘 4室2厅 7500元,4室2厅,130.88,7500,57.304
春和钱塘，绿城物业，品质小区，3房1卫，,3室2厅,87,6000,68.966
金马同盛精装修，优质房源出租，,1室0厅,51.83,2800,54.023
顺发旺角城二期 3室1厅 5800元,3室1厅,100,5800,58.0
天汇园 1室1厅 3200元,1室1厅,40,3200,80.0
晶典公寓 2室2厅 4000元,2室2厅,89,4000,44.944
新城香悦奥府 4室2厅 6500元,4室2厅,129.2,6500,50.31
得力名望府 3室1厅 5000元,3室1厅,90,5000,55.556
信融御金台 6室1厅 25000元,6室1厅,418,25000,59.809
出门就是地铁交通十分便利...,1室1厅,37,2000,54.054
名城大厦 1室1厅 2900元,1室1厅,46.13,2900,62.866
南城景园 3室2厅 2900元,3室2厅,124,2900,23.387
金域三江 3室2厅 3800元,3室2厅,137.91,3800,27.554
家电齐全，南北通透，自住装修，拎包入住！楼层适中,3室2厅,128.68,5000,38.856
香山四季公馆 4室1厅 5600元,4室1厅,180,5600,31.111
盈一佳苑 3室1厅 5500元,3室1厅,100,5500,55.0
国泰大厦大面积实惠三卫优质房！可办公！可家住,5室2厅,207.77,9450,45.483
中誉现代城 1室1厅 2300元,1室1厅,47,2300,48.936
绿都金域东方 3室2厅 4000元,3室2厅,89,4000,44.944
金地德圣中心 1室1厅 3900元,1室1厅,49.21,3900,79.252
盈一佳苑 3室1厅 5800元,3室1厅,100,5800,58.0
钱江世纪城 好房出租  一线江景房   众安嘉润公馆,5室2厅,427,25620,60.0
金地德圣中心 1室1厅 4000元,1室1厅,40,4000,100.0
朝阳地铁口，精装超大一室一厅，家具家电齐全，,1室1厅,46.73,3200,68.478
中国铁建江南国际城 4室1厅 8000元,4室1厅,89.37,8000,89.515
丰瑞北苑 3室2厅 5800元,3室2厅,100,5800,58.0
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
精美装修，地铁房，房东诚心出租。,5室5厅,223.65,13000,58.127
华瑞湘湖美地，采光好 位于楼层中间位置房东诚心出租,2室1厅,105.74,5500,52.014
