标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
近阿里巴巴 西溪银泰 家具家电齐全 房东自住房源,1室1厅,70.3,5600,79.659
下宁巷 两房朝南 诚心出租 近学军,2室0厅,42.5,3600,84.706
翠苑五区 3室1厅 5600元,3室1厅,80,5600,70.0
西鉴枫景 4室1厅 12000元,4室1厅,159,12000,75.472
万科星空 4室2厅 7500元,4室2厅,126,7500,59.524
城北商贸园 2室1厅 3700元,2室1厅,69.59,3700,53.169
嘉绿文苑 2室1厅 5000元,2室1厅,77.78,5000,64.284
星洲花园白沙佛庭精装排屋，品质生活,4室2厅,182,13500,74.176
短租神房 拎包入住 温暖的家只差一个你,3室1厅,71.99,5000,69.454
留下西苑 2室2厅 3300元,2室2厅,73.72,3300,44.764
师苑新村 2室1厅 4600元,2室1厅,62,4600,74.194
宝石二路8号 2室1厅 5000元,2室1厅,60,5000,83.333
春晓大四房出租，户型方正，价格美丽.,4室1厅,148.39,5000,33.695
嘉绿西苑 2室1厅 5000元,2室1厅,91,5000,54.945
德雅花园 3室1厅 5500元,3室1厅,125,5500,44.0
耀江文鼎苑 3室2厅 9500元,3室2厅,120,9500,79.167
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
边套大三房 loft结构 空间很大,3室2厅,86,6300,73.256
中海定山府 3室1厅 4000元,3室1厅,90,4000,44.444
耀江文鼎苑 4室2厅 9500元,4室2厅,134,9500,70.896
浙江工业大学之江校区宿舍 3室1厅 3000元,3室1厅,90,3000,33.333
城市芯宇精装单身公寓，诚心出租。,1室1厅,53.25,5200,97.653
融创河滨之城精装修品质好 小区环境绿化高 近阿里巴巴,3室2厅,89.52,6800,75.961
下宁巷1号  学军十三中 家具家电齐全 可拎包入住,2室1厅,66.15,4500,68.027
耀江文鼎苑 2室1厅 5700元,2室1厅,88,5700,64.773
近阿里巴巴 西溪银泰  简装2房 生活便利,2室2厅,85.24,5000,58.658
龙湖水晶郦城 3室2厅 3500元,3室2厅,89,3500,39.326
云溪香山 2室1厅 3500元,2室1厅,95,3500,36.842
翠苑一区 2室1厅 4500元,2室1厅,60,4500,75.0
华元天鹅堡 1室1厅 4500元,1室1厅,61.3,4500,73.409
西湖边，宝石山下，环境优美，生活便利,3室1厅,57.68,5000,86.685
都市阳光和苑 2室1厅 3100元,2室1厅,62,3100,50.0
中旅紫金名门 4室2厅 10000元,4室2厅,142,10000,70.423
阳光很满，就连风儿也在轻轻呢喃~,2室1厅,65.24,3800,58.246
融信杭州公馆 2室1厅 6600元,2室1厅,60,6600,110.0
溪畔花园2房精装，拎包即可入住,2室1厅,53.95,4500,83.411
求是村，房子精装修，房东诚心出租,2室2厅,77.31,5800,75.023
四百万精装带地暖，二进三院的排屋，看房方便,3室3厅,259.28,25000,96.421
龙湖水晶郦城 3室1厅 4000元,3室1厅,89,4000,44.944
中海房东自住精装3房，带中 央空调和地暖 近阿里巴巴,3室2厅,139.04,9000,64.73
复地黄龙和山排屋上面四层下面两层，运用范围广,5室5厅,327,10000,30.581
西溪留下坤和和家园。房东诚心出租,4室2厅,187.05,6000,32.077
新德雅公寓三房，可办公，诚心出租。,3室1厅,133.25,7500,56.285
黄龙复地和山房东诚心出租沿西溪路,3室1厅,88.31,4500,50.957
三墩颐景园 4室2厅 12000元,4室2厅,201,12000,59.701
万科西溪蝶园 高标准精装带地暖,3室2厅,153.76,9500,61.785
生活便利，交通方便， 采光很好，诚心出租,2室1厅,49.96,4200,84.067
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
皇朝城市花园 1室1厅 2500元,1室1厅,40,2500,62.5
留下西苑 3室2厅 4300元,3室2厅,97,4300,44.33
都市阳光华苑 2室1厅 2900元,2室1厅,65,2900,44.615
曙光路139号 2室1厅 7500元,2室1厅,75,7500,100.0
中大文锦苑有精装修三房出租，房东诚心租,3室1厅,112,9700,86.607
南都花园二区 4室2厅 6500元,4室2厅,119.5,6500,54.393
黄龙雅苑 3室2厅 12000元,3室2厅,134,12000,89.552
总有一处空间让人忘性的舒展自己~,2室1厅,63.29,4200,66.361
紫金公寓，两房朝南。采光好，大面积两房。特舒适。,2室2厅,81.89,4600,56.173
留下西苑 2室2厅 3300元,2室2厅,73.72,3300,44.764
金田花园 3室1厅 6000元,3室1厅,93,6000,64.516
河滨精装房源 近学军中 学 阿里巴巴 浙大 西溪银泰,3室2厅,87.88,6500,73.964
融创瑷骊山 1室1厅 3800元,1室1厅,48.24,3800,78.773
朗郡庭园 3室1厅 5300元,3室1厅,89,5300,59.551
建工新村 1室1厅 3500元,1室1厅,38.2,3500,91.623
聚丰公寓 1室1厅 4300元,1室1厅,35,4300,122.857
世贸丽晶城 1室1厅 5500元,1室1厅,55,5500,100.0
翠苑四区 2室1厅 4000元,2室1厅,56,4000,71.429
高教新村 3室2厅 5000元,3室2厅,76,5000,65.789
万科西溪蝶园精装修1室，靠 近中节能首座，,1室1厅,53.6,4200,78.358
北二区新上好房，价格美丽，户型美丽、,2室1厅,62,4000,64.516
【房源标题】：南北通透 清爽装修 业主诚心出租,2室1厅,52.44,3800,72.464
黄龙体育场500米内，性价超高的两房。,2室1厅,59.94,4000,66.733
翠苑二区 2室1厅 4000元,2室1厅,53,4000,75.472
西溪锋尚苑 2室1厅 4500元,2室1厅,54.92,4500,81.937
西溪蝶园二期 3室2厅 13000元,3室2厅,170.57,13000,76.215
曙光路139号 2室2厅 5500元,2室2厅,65.91,5500,83.447
星洲花园精装排屋，大户型，诚心出租,4室2厅,162,11500,70.988
西溪蝶园一期，西溪银泰旁，万科物业，拎包入住,4室1厅,191.21,14500,75.833
西溪锋尚苑 1室1厅 4500元,1室1厅,77,4500,58.442
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
万科星空 3室2厅 5500元,3室2厅,89,5500,61.798
泊林漫谷 1室1厅 3000元,1室1厅,90,3000,33.333
庆丰新村 2室1厅 4600元,2室1厅,53,4600,86.792
融创河滨之城 3室2厅 6500元,3室2厅,89,6500,73.034
云溪香山 2室1厅 5000元,2室1厅,95.64,5000,52.279
好房  好房  精装        大三房,3室2厅,147,6000,40.816
近阿里巴巴 西溪银泰 精装2房 带地暖 生活便利,2室2厅,88.23,6200,70.271
聚丰公寓 1室0厅 3300元,1室0厅,40,3300,82.5
飞机户型等大三房自住精装修，诚招居家客户！,3室1厅,76,5400,71.053
金地自在城 1室1厅 3300元,1室1厅,48.7,3300,67.762
近西溪银泰 西溪谷 西溪首座 房东自住精装修,3室2厅,89,9000,101.124
聚丰公寓 2室0厅 4600元,2室0厅,60,4600,76.667
梅苑阁小区 3室1厅 5000元,3室1厅,91.14,5000,54.861
中海西溪华府，西溪首座西溪银泰旁，生活便利,2室1厅,88.86,5000,56.268
想要眺望美美的远方吗？生活就在这里,3室1厅,68.2,5500,80.645
精装2房，诚心出租............,2室2厅,89,6000,67.416
万科物业，距离西溪800米，周 边出行方便，大4房,4室2厅,195.64,16000,81.783
春风十里不如你，温暖的家只差一个你,2室1厅,52.5,3900,74.286
西溪蝶园二期 1室1厅 5300元,1室1厅,68.9,5300,76.923
横桥沈合苑 3室2厅 4500元,3室2厅,100,4500,45.0
华门自由21世纪 2室1厅 4000元,2室1厅,51,4000,78.431
乾成园 3室1厅 4500元,3室1厅,79.51,4500,56.597
融创河滨之城 4室2厅 7000元,4室2厅,118,7000,59.322
西溪晴雪 两室 清爽户型拎包入住  温馨舒适,2室1厅,68,4000,58.824
南都德迦西区 3室2厅 12000元,3室2厅,149.68,12000,80.171
古荡新村 清爽两房 家电齐全 随时看房 可议价,2室1厅,53.41,4200,78.637
桃园很清爽的两房装修，希望一家人在入住，看房方便！,2室1厅,61,4500,73.77
西溪蝶园一期  三室  拎包入住,3室2厅,89,6500,73.034
王家弄 3室1厅 5600元,3室1厅,64,5600,87.5
文鼎苑南北通透2居室 精装修拎包入住,2室1厅,87.91,6500,73.939
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
简装大三房，业主诚心出租，闹中取静,3室2厅,130.5,7000,53.64
富丽苑 3室2厅 5800元,3室2厅,108.73,5800,53.343
龙湖水晶郦城 4室0厅 4500元,4室0厅,89,4500,50.562
黄龙雅苑，一室精装，朝南户型。,1室1厅,38.64,4600,119.048
融创瑷骊山 2室1厅 4800元,2室1厅,89,4800,53.933
内部家具没有，可自带也可和房东谈，适合一家人居住,1室1厅,44.32,3000,67.69
湖畔花园清爽装修，看房方便！！！！1,3室2厅,133.02,6800,51.12
华星路12号 2室1厅 4500元,2室1厅,67.07,4500,67.094
翠苑三区 3室1厅 4000元,3室1厅,67,4000,59.701
康乐新村，业主自住精装修的。一家人居住最为方便。,2室2厅,57.4,4500,78.397
坤和西溪里西溪银泰旁，随时看房，绿城物业，拎包入住,3室1厅,137.21,7000,51.017
简单清爽装修 可注册公司适用于办公 纯边套朝南采光佳,1室1厅,65.01,5800,89.217
自住清爽一居室，房东诚心出租，干净清爽,1室1厅,45,3500,77.778
友谊新村 1室1厅 3400元,1室1厅,42,3400,80.952
黄龙世纪苑 2室2厅 6800元,2室2厅,89,6800,76.404
像风走了八万里，我在这等你入住,2室1厅,48.86,3600,73.68
文一路60号 2室1厅 3900元,2室1厅,50,3900,78.0
绿城丁香公寓 1室1厅 6300元,1室1厅,70.67,6300,89.147
山水人家清水湾 7室2厅 16000元,7室2厅,285,16000,56.14
紫桂花园 5室3厅 17000元,5室3厅,178.34,17000,95.324
融信杭州公馆 3室2厅 8500元,3室2厅,89,8500,95.506
耀江文鼎苑 2室1厅 6800元,2室1厅,87.67,6800,77.564
汇丰公寓 3室1厅 6600元,3室1厅,92,6600,71.739
阿里巴巴文一西路海创园未来科技城万科星空住宅出租！,3室2厅,89,5600,62.921
新世纪花苑6居室 07卧,6室1厅,11.9,1860,156.303
西溪留下 坤和和家园 精装三室套房 诚心出租,3室2厅,130.05,8500,65.359
南都花园二区3居室 01卧,3室1厅,12.9,1790,138.76
大客厅两房，南北通透，你还等什么,2室2厅,65,4800,73.846
华门自由21世纪，两房电梯房，拎包入住。,2室1厅,103.08,6000,58.207
湖畔花园桃花苑 4室2厅 10000元,4室2厅,153,10000,65.359
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
新安嘉苑 2室1厅 4800元,2室1厅,83,4800,57.831
华远大厦 2室1厅 4500元,2室1厅,87.7,4500,51.311
温馨实用，简单的一个家，简单的生活,2室1厅,59.89,5000,83.486
黄龙雅苑 1室1厅 4600元,1室1厅,45,4600,102.222
装单身公寓，随时看房，可注册办公，可住人,1室0厅,38,3500,92.105
银马公寓精装三房，不沿街，房东诚心出租,3室2厅,168,14000,83.333
低楼层两房户型，诚招居家客户！,2室1厅,65,4500,69.231
西溪路22-97号 2室1厅 5500元,2室1厅,54.41,5500,101.084
望月公寓 3室2厅 5800元,3室2厅,130,5800,44.615
翠苑三区 2室1厅 3500元,2室1厅,59,3500,59.322
古荡新村西区 2室1厅 5000元,2室1厅,63,5000,79.365
毛坯房，仓库，办公最适合！！！,3室1厅,105,3500,33.333
明月公寓自住装修。很温暖的居家三房。,3室2厅,79.57,4800,60.324
新星小区 2室2厅 3800元,2室2厅,75,3800,50.667
嘉绿景苑精装两室干净温馨户型正气南北通透出行方便,2室2厅,95.73,5500,57.453
翠苑五区 3室1厅 5300元,3室1厅,80,5300,66.25
耀江文鼎苑 2室1厅 5700元,2室1厅,89,5700,64.045
虾龙圩地铁口300米西城年华清爽一室！,1室1厅,42.43,3500,82.489
润达花园 2室2厅 4200元,2室2厅,89,4200,47.191
我想给你一个温暖的家 你愿意住进来吗？,3室2厅,96.99,8500,87.638
精装修2房，房东诚心出租，希望找个有缘租客,2室1厅,55.97,4500,80.4
润达花园 2室1厅 4000元,2室1厅,72,4000,55.556
新金都城市花园 4室1厅 7000元,4室1厅,113.92,7000,61.447
高品质的房子，旁边是西溪银泰城.地铁口（在建）,1室1厅,54.98,4500,81.848
金地自在城东苑大四房，地铁口房源，客厅带阳台！,4室2厅,149,8000,53.691
金源公寓 3室1厅 4000元,3室1厅,78,4000,51.282
梧桐燕庐 4室1厅 5800元,4室1厅,120,5800,48.333
西湖区 南北通透 全明户型，家具家电齐全,3室1厅,84,3800,45.238
体育场路557号 1室1厅 3600元,1室1厅,43.12,3600,83.488
新星小区 3室1厅 3500元,3室1厅,67,3500,52.239
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
业主自住装修两房 中间楼层 采光无限,2室1厅,79.2,5500,69.444
新星小区 2室2厅 2800元,2室2厅,49.92,2800,56.09
新星小区 2室1厅 3500元,2室1厅,63.3,3500,55.292
房东诚心出租，家具家电齐全，交通便利，拎包入住。,3室2厅,115,6600,57.391
康乐新村，业主自住的。一家人居住最为方便。采光好。,3室1厅,82.61,4500,54.473
此小区在文三西路古墩路交叉口，交通方便，,2室1厅,54,4700,87.037
星洲花园单身公寓，一居室，家具家电齐全，拎包入住,1室1厅,57.5,4000,69.565
新德雅公寓大三房，房东诚心出租,3室2厅,133.5,6500,48.689
康乐新村，简单一房出租，看房方便。拎包入住。,1室1厅,40.15,3800,94.645
业主自住精装修，看房方便，房子现代化装修,1室1厅,41.57,3700,89.006
黄龙复地和山房东诚心出租沿西溪路,1室1厅,50,3200,64.0
莫干山路79号 2室1厅 4500元,2室1厅,80,4500,56.25
天阳云筑 3室2厅 5000元,3室2厅,89,5000,56.18
新星小区 2室1厅 3000元,2室1厅,52.6,3000,57.034
龙湖水晶郦城 2室2厅 4000元,2室2厅,89,4000,44.944
三 房 适合                                 一家人,3室2厅,99.8,4800,48.096
中海紫藤苑大3房，仅此一套，空房！空房！,4室1厅,137.13,5500,40.108
中大文锦苑房源出租，房东诚心租,3室2厅,117,10000,85.47
新星小区 3室1厅 3800元,3室1厅,73,3800,52.055
新星小区 2室1厅 3800元,2室1厅,60,3800,63.333
星洲花园一居室，家具家电齐全拎包入住,1室1厅,51,3800,74.51
精装两房，家具家电设施齐全，给你一份温馨的家,2室1厅,75.88,4400,57.986
都市阳光嘉苑 2室1厅 2100元,2室1厅,63,2100,33.333
嘉绿西苑 2室2厅 5000元,2室2厅,89,5000,56.18
留博楼 2室1厅 5200元,2室1厅,73,5200,71.233
一家人看过来。精装好房 大一居室,1室2厅,65,3500,53.846
中海紫藤苑 2室2厅 4700元,2室2厅,89,4700,52.809
爱尚里 3室2厅 4500元,3室2厅,60,4500,75.0
新星3房 适合                             一家人,3室1厅,74.89,3600,48.071
高教新村 3室1厅 4700元,3室1厅,75,4700,62.667
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
同人精华 1室1厅 10920元,1室1厅,130,10920,84.0
明月公寓自住装修。很温暖的居家三房。,3室1厅,79.57,4900,61.581
同人精华 1室1厅 19000元,1室1厅,233,19000,81.545
愿给在外拼搏的你一个温暖的小家,1室1厅,46.64,4100,87.907
房东诚心出租，家具家电齐全，交通便利，拎包入住。,3室2厅,123,6800,55.285
紫桂花园 经典三房 优质装修 拎包入住,3室2厅,146,8000,54.795
精装两房，南北通透，采光好，家电齐全 .,2室1厅,56.47,4200,74.376
法式联体排屋，客厅挑高，沿河景观，随时看房,6室2厅,397.78,15000,37.709
中海西溪华府，西溪首座西溪银泰旁，生活便利,3室1厅,87.77,5200,59.246
中海定山府 4室1厅 5600元,4室1厅,162.52,5600,34.457
古荡新村西区 2室0厅 2500元,2室0厅,49,2500,51.02
翠苑东二区 3室1厅 5700元,3室1厅,79,5700,72.152
精装自住，看房提前预约。房东诚心。,3室2厅,127.03,8000,62.977
留博楼 2室1厅 5000元,2室1厅,65,5000,76.923
绿城之江1号 2室1厅 6500元,2室1厅,88.53,6500,73.421
宝嘉誉府 3室2厅 4500元,3室2厅,89,4500,50.562
枫丹白露 5室3厅 8000元,5室3厅,203.59,8000,39.295
朗郡庭园 4室2厅 5500元,4室2厅,191.23,5500,28.761
绿城之江1号 3室2厅 4700元,3室2厅,110.74,4700,42.442
翠苑一区 1室1厅 3200元,1室1厅,41,3200,78.049
精装3房，诚心出租............,3室2厅,56,4200,75.0
爱尚里 3室2厅 4200元,3室2厅,55,4200,76.364
嘉里云荷廷 3室2厅 7000元,3室2厅,139.89,7000,50.039
大一房，适合一个人或夫妻情侣居住,1室1厅,50.1,3200,63.872
浙江工业大学之江校区宿舍 2室1厅 3000元,2室1厅,58.86,3000,50.968
云溪香山 5室1厅 6000元,5室1厅,168.07,6000,35.699
链家房源枫华府第精装一居室高楼层采光好,1室1厅,58.32,5500,94.307
上郡 2室1厅 5100元,2室1厅,89.31,5100,57.104
物华小区 3室1厅 5500元,3室1厅,110,5500,50.0
近阿里，大三房出租，来了解一下~,3室1厅,90,7500,83.333
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
西溪路22-97号 2室1厅 5500元,2室1厅,54.41,5500,101.084
留博楼 2室1厅 5200元,2室1厅,73,5200,71.233
一家人看过来。精装好房 大一居室,1室2厅,65,3500,53.846
中海紫藤苑大3房，仅此一套，空房！空房！,4室1厅,137.13,5500,40.108
金地自在城东苑大四房，地铁口房源，客厅带阳台！,4室2厅,149,8000,53.691
金源公寓 3室1厅 4000元,3室1厅,78,4000,51.282
体育场路557号 1室1厅 3600元,1室1厅,43.12,3600,83.488
业主自住装修两房 中间楼层 采光无限,2室1厅,79.2,5500,69.444
莫干山路79号 2室1厅 4500元,2室1厅,80,4500,56.25
精装两房，南北通透，采光好，家电齐全 .,2室1厅,56.47,4200,74.376
三 房 适合                                 一家人,3室2厅,99.8,4800,48.096
中海紫藤苑 2室2厅 4700元,2室2厅,89,4700,52.809
爱尚里 3室2厅 4500元,3室2厅,60,4500,75.0
新星3房 适合                             一家人,3室1厅,74.89,3600,48.071
愿给在外拼搏的你一个温暖的小家,1室1厅,46.64,4100,87.907
确认过眼神 遇见对的人 九莲自住两房静待有缘人,2室2厅,56.78,4100,72.209
西荡苑两室出租，中等装修！！！,3室1厅,87.3,5000,57.274
三墩颐景园大户型，户型好的 比较方正 小区配套成熟,3室2厅,126,5600,44.444
龙湖水晶郦城 4室1厅 5800元,4室1厅,119,5800,48.739
梧桐公寓 1室1厅 6800元,1室1厅,62,6800,109.677
户型方正，装修精致，楼层好有阁楼,4室2厅,141.39,9500,67.19
兰桂珍贵别墅出租，户型正气有档次！,4室2厅,229,22000,96.07
金地自在城 1室1厅 3100元,1室1厅,44,3100,70.455
文苑小区 3室2厅 5300元,3室2厅,82,5300,64.634
金都城市芯宇 2室1厅 7000元,2室1厅,89,7000,78.652
宁波大厦稀有115平写字楼，房东诚心出租,2室1厅,115,8000,69.565
银马公寓 2室1厅 6500元,2室1厅,89,6500,73.034
西湖景区房，清爽两室，拎包入住,2室1厅,63.85,5200,81.441
干净清爽，大三房，适合陪读或附，近上班族,3室1厅,92.23,5200,56.381
今日嘉园，简单两房，给纷扰的生活一份简单,2室2厅,108,6000,55.556
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
华远大厦，户型方正，两室朝南，南北通风,2室2厅,85,4500,52.941
精品装修，诚心出租，为您提供美好的住宿环境,1室1厅,66.14,6500,98.276
翠苑五区精装房拎包入住 ，好房子不贵等你来住,2室2厅,78.41,4600,58.666
雨天，晴天，最美的适合你在一起的那天！杭州公馆等你,1室1厅,59.02,6000,101.66
筑品金座 1室1厅 5800元,1室1厅,47,5800,123.404
精装全配温馨一室，喧嚣的城市中属于自己的那一片宁静,2室1厅,54.95,5100,92.812
桃源春居 2室2厅 4500元,2室2厅,67.04,4500,67.124
春天花园 近文新地铁站 4室2卫诚心出租,4室2厅,171,9000,52.632
梧桐公寓 1室1厅 7200元,1室1厅,85,7200,84.706
耀江文鼎苑 3室1厅 8000元,3室1厅,145.11,8000,55.131
内部家具家电配置基本齐全，适合一家人居住,3室1厅,74.5,6000,80.537
楼层采光充足，视野开阔，南北通透，全明户型,2室2厅,114,5500,48.246
窗明几净楼上楼， 只为倾君（卿）心。,1室1厅,66.14,6500,98.276
最美不是下雨天，是和你一起躲过的屋檐,4室2厅,137.17,7800,56.864
翠苑五区 2室1厅 4700元,2室1厅,70,4700,67.143
嘉南公寓新上电梯房，小三房 看房有钥匙,2室2厅,92.64,5500,59.37
单身公寓，干净整洁卫生，蚂蚁金服优质的好房,1室1厅,46.8,5600,119.658
环境好采光充足 配套齐全 诚心出租,2室2厅,79.44,5000,62.941
办公装修出租，公寓，可以办公，,3室3厅,140,14500,103.571
十里春风不如你，你离温暖差一个家,2室1厅,89,4600,51.685
精装三房，干净清爽，家具家电设施齐全，拎包入住。,3室2厅,89,8000,89.888
梧桐燕庐 2室1厅 4200元,2室1厅,88.93,4200,47.228
金都城市芯宇，精装loft两房，看房方便，诚心出租,2室1厅,89,6800,76.404
浙江工业大学之江校区宿舍 2室1厅 3000元,2室1厅,58.86,3000,50.968
云溪香山 5室1厅 6000元,5室1厅,168.07,6000,35.699
链家房源枫华府第精装一居室高楼层采光好,1室1厅,58.32,5500,94.307
金厦公寓 4室2厅 10000元,4室2厅,221.3,10000,45.188
朗郡庭园 4室2厅 5500元,4室2厅,191.23,5500,28.761
绿城之江1号 3室2厅 4700元,3室2厅,110.74,4700,42.442
干净清爽优选房，地铁房，生活便利房。,2室1厅,50.72,4500,88.722
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
中海定山府 3室2厅 5000元,3室2厅,89,5000,56.18
星洲花园格兰馨庐精装电梯房，四房两厅三卫。,4室2厅,218,15000,68.807
茶市新村 户型方正三室 家电全新 拎包入住 南北通透,3室1厅,75,3400,45.333
怡泰大厦 1室1厅 9000元,1室1厅,125,9000,72.0
西溪路22-97号 2室1厅 4600元,2室1厅,82,4600,56.098
三墩颐景园大户型，户型好的 比较方正 小区配套成熟,3室2厅,122.89,5800,47.197
庆丰新村 2室1厅 5400元,2室1厅,60,5400,90.0
广宇西城美墅 3室2厅 7700元,3室2厅,118,7700,65.254
西溪蝶园大两房，西溪银泰旁，万科物业，看房方便,2室2厅,89,6000,67.416
西溪蝶园二期 1室1厅 5600元,1室1厅,69,5600,81.159
喧嚣的城市中，享受那一份独有的安静，随时看房！！！,2室2厅,71.57,5200,72.656
世纪新城东区温馨家居，配套齐全，拎包入住,1室1厅,42,3700,88.095
建工新村 2室1厅 4000元,2室1厅,60,4000,66.667
瑞祺大厦一室一卫公寓诚心出租！,1室1厅,42.06,3100,73.704
星洲花园两居室，家具家电齐全拎包入住,2室1厅,49.91,4800,96.173
文菁花苑 三室精装好房 期待您的入住,3室2厅,138.57,7500,54.124
翠苑五区精装两房全明户型诚心出租,2室1厅,71.27,4500,63.14
复地黄龙和山 2室2厅 4500元,2室2厅,50,4500,90.0
链家房源 世贸丽晶城 中低楼层 交通便捷,1室1厅,56.29,7200,127.909
世纪新城东区 3室2厅 8000元,3室2厅,138,8000,57.971
紫金文苑 4室2厅 8800元,4室2厅,135,8800,65.185
中国风暖色系两房，带个小书房，黄 金楼层,2室2厅,133,7000,52.632
房东诚心租的，中间楼层 ，小区环境优美,3室1厅,57.35,4700,81.953
复地黄龙和山 2室1厅 4200元,2室1厅,90,4200,46.667
文三街50米大两房，专为你家孩子设计,2室1厅,58.96,4300,72.931
春风十里不如你，温暖的家只差一个你,2室0厅,43,3600,83.721
雅戈尔御西湖 3室2厅 14000元,3室2厅,136,14000,102.941
翠苑佳居 3室2厅 5800元,3室2厅,87.8,5800,66.059
西溪路517号 2室1厅 4300元,2室1厅,69.58,4300,61.799
坤和和家园二居室清爽精装，拎包入住.南北通透。,2室1厅,88.65,4300,48.505
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
庆丰新村 2室1厅 5000元,2室1厅,69.97,5000,71.459
耀江文鼎苑 1室1厅 4000元,1室1厅,61,4000,65.574
同人精华 1室1厅 3300元,1室1厅,33,3300,100.0
多雨之秋，最美不过我们一起躲雨的屋檐，,2室0厅,45,4500,100.0
最美的不是下雨天 是曾与你躲过雨的屋檐,2室1厅,60,4300,71.667
金地自在城44方精致温馨小屋，满两年，开发商精装修,1室1厅,44.36,3000,67.628
政苑小区 3室2厅 5300元,3室2厅,103,5300,51.456
精装三房，坐北朝南，家具家电齐全 小区介绍,3室1厅,89,4500,50.562
精装三房，坐北朝南，家具家电齐全 小区介绍,3室2厅,89,4500,50.562
都市阳光小两房，价格低不租就没了啊。。。,2室1厅,62,2000,32.258
精装三房，坐北朝南，家具家电齐全 小区介绍,3室1厅,89,4500,50.562
创美华彩国际 4室0厅 5500元,4室0厅,456,5500,12.061
同人精华大面积办公房   空置精装,1室0厅,53,10000,188.679
