标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
中天西城纪 1室1厅 3800元,1室1厅,35,3800,108.571
杭钢北苑 1室1厅 2400元,1室1厅,61,2400,39.344
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
新安天苑 2室2厅 4300元,2室2厅,87,4300,49.425
胜月苑 2室1厅 4300元,2室1厅,65,4300,66.154
三塘人家 2室1厅 4300元,2室1厅,63,4300,68.254
杭钢北苑 3室1厅 3500元,3室1厅,90,3500,38.889
蓝钻天成 1室1厅 4000元,1室1厅,43,4000,93.023
广宇万科公园里 3室2厅 4500元,3室2厅,89,4500,50.562
大关小区公交站旁 小套三房 房东诚心出租,3室1厅,67.41,4200,62.305
南北西岸 2室2厅 5200元,2室2厅,89,5200,58.427
董家弄 1室1厅 3300元,1室1厅,35,3300,94.286
风景大院 3室2厅 8000元,3室2厅,117,8000,68.376
东方福邸 3室1厅 8000元,3室1厅,89,8000,89.888
勤丰小区 2室1厅 3700元,2室1厅,55.54,3700,66.619
大关西三苑 2室1厅 4200元,2室1厅,58,4200,72.414
优质房子给优质的你， 随时看房！！！,2室1厅,65,4600,70.769
中装以上，环境优美，房东诚心，看房方便,3室2厅,89,5600,62.921
新安天苑 3室1厅 4500元,3室1厅,86,4500,52.326
广宇万科公园里4居室 01卧,4室1厅,11,1490,135.455
蚕花园永和坊 1室1厅 3000元,1室1厅,51.46,3000,58.298
大关东五苑 2室1厅 3800元,2室1厅,75,3800,50.667
交通便利 小区环境干净舒适 适合居住,2室1厅,61.29,3600,58.737
天阳美林湾 2室2厅 5500元,2室2厅,91,5500,60.44
万家花城一期 3室2厅 7000元,3室2厅,158,7000,44.304
董家弄 2室1厅 3700元,2室1厅,52,3700,71.154
小河佳苑 2室1厅 4000元,2室1厅,67.5,4000,59.259
中兴御田清庭 3室2厅 4500元,3室2厅,115,4500,39.13
庆隆苑 2室1厅 3800元,2室1厅,65,3800,58.462
紫荆四房中间楼层，房东自住装修，东边套,4室2厅,120,6600,55.0
东方福邸 2室1厅 5500元,2室1厅,73.19,5500,75.147
叶青随苑 2室1厅 5500元,2室1厅,70.07,5500,78.493
庆隆苑 2室1厅 5500元,2室1厅,88,5500,62.5
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
锦绣新村 1室0厅 3500元,1室0厅,33.69,3500,103.888
大关西七苑 1室1厅 3200元,1室1厅,41,3200,78.049
德胜新村 2室1厅 3600元,2室1厅,49,3600,73.469
大关东二苑 3室1厅 4600元,3室1厅,78,4600,58.974
和新南苑 2室1厅 4000元,2室1厅,60,4000,66.667
美都广场 1室0厅 3000元,1室0厅,45,3000,66.667
德胜新村 2室2厅 4200元,2室2厅,61,4200,68.852
假山新村 2室2厅 4500元,2室2厅,82.88,4500,54.295
大关东五苑 3室1厅 4200元,3室1厅,66,4200,63.636
丽晶湾 2室2厅 5000元,2室2厅,89.8,5000,55.679
方正荷塘月色 3室1厅 4500元,3室1厅,89,4500,50.562
宋都香悦郡 3室2厅 4200元,3室2厅,90,4200,46.667
交通便利 小区环境干净舒适 适合居住,3室2厅,125,6800,54.4
七古登人家 2室1厅 4300元,2室1厅,72,4300,59.722
和睦新村 3室1厅 4800元,3室1厅,72,4800,66.667
莫干新村 2室1厅 4000元,2室1厅,54,4000,74.074
适合一家人居住，温馨家庭，不要错过哦,3室1厅,81.39,5500,67.576
清水公寓 2室2厅 6000元,2室2厅,72,6000,83.333
大关南六苑 2室1厅 3600元,2室1厅,76,3600,47.368
大浒东苑 两室精装修 楼层佳 视野好 诚心出租 随时看,2室1厅,68,3700,54.412
紫荆家园西边套户型，中间楼层，业主自住精装修保养好,3室2厅,106.16,6600,62.17
中天西城纪 开发商精装好房 看房提前约,1室2厅,34,4000,117.647
香兰名院 2室1厅 4600元,2室1厅,72,4600,63.889
万家花城好房出租， 房东一对一签合同 服务有保障,3室2厅,141,6800,48.227
大关西五苑 1室1厅 2500元,1室1厅,34,2500,73.529
都市水乡水映苑 2室2厅 4500元,2室2厅,81.52,4500,55.201
大浒西苑，温馨两房，一家三口其乐融融,2室1厅,62,4200,67.742
大浒东苑 3室2厅 5500元,3室2厅,113,5500,48.673
都市水乡水滟苑 3室2厅 4700元,3室2厅,99,4700,47.475
大关西六苑 2室1厅 3500元,2室1厅,74,3500,47.297
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
户型正气，南北通透。~~~~~~~~~,3室2厅,119.41,5800,48.572
万达商圈 配套齐全 交通方便 精致装修 拎包入住,4室2厅,137.68,18000,130.738
绿城西子锦兰公寓 3室2厅 7500元,3室2厅,147,7500,51.02
锦绣文澜阁 2室1厅 4000元,2室1厅,78,4000,51.282
简装两居，透气强，采光好，看房方便,2室1厅,50,3100,62.0
中环大厦 5室0厅 14800元,5室0厅,150.49,14800,98.345
中国铁建国际汇 1室1厅 3000元,1室1厅,40,3000,75.0
中环大厦 5室0厅 14200元,5室0厅,145.79,14200,97.4
左家新村 1室1厅 3800元,1室1厅,47,3800,80.851
新安天苑3居室 03卧,3室1厅,13.7,2030,148.175
新安天苑3居室 03卧,3室1厅,13.7,2030,148.175
吉兴公寓 3室1厅 6300元,3室1厅,1,6300,6300.0
莱德绅华府 2室1厅 6500元,2室1厅,89.83,6500,72.359
大关西七苑 2室1厅 3900元,2室1厅,60,3900,65.0
德信北海公园 3室2厅 5000元,3室2厅,89.23,5000,56.035
天鸿香榭里 5室3厅 6000元,5室3厅,187.33,6000,32.029
联合世纪新筑 3室1厅 6000元,3室1厅,120,6000,50.0
蚕花园永兴坊 2室1厅 4100元,2室1厅,86,4100,47.674
香兰名院 2室2厅 5000元,2室2厅,75,5000,66.667
庆隆苑 2室1厅 4800元,2室1厅,88,4800,54.545
金都清宸公寓 3室2厅 6000元,3室2厅,138.5,6000,43.321
大关西六苑 2室1厅 3600元,2室1厅,57.66,3600,62.435
假山新村 2室1厅 4100元,2室1厅,60,4100,68.333
锦绣新村 2室1厅 4000元,2室1厅,55,4000,72.727
莱德绅华府 2室1厅 5000元,2室1厅,70,5000,71.429
新安天苑3居室 03卧,3室1厅,13.7,2030,148.175
中国铁建国际汇 2室1厅 4000元,2室1厅,47,4000,85.106
半山优质房源            房东    诚心出租,2室2厅,80,3600,45.0
定海西园 1室1厅 3200元,1室1厅,40.39,3200,79.228
蓝钻天成 2室1厅 5500元,2室1厅,63,5500,87.302
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
中兴御田清庭 3室2厅 4000元,3室2厅,125,4000,32.0
大面积客厅、卧室，可自己简单改造温馨家庭,2室1厅,72.96,3500,47.971
首开望宸 3室2厅 4800元,3室2厅,89,4800,53.933
自住精装四房 让您过上舒适的生活,4室2厅,130,9500,73.077
业主亲自操刀设计，精装优质两房诚荐,2室1厅,50.68,3800,74.98
大关东七苑 3室2厅 4500元,3室2厅,90,4500,50.0
房东自己的房子，小孩上幼儿园用不到，可以长租,5室2厅,135.8,8000,58.91
2房 精装 好                                 房,2室1厅,68.55,4000,58.352
丽晶湾 3室2厅 4900元,3室2厅,87,4900,56.322
大关南一苑 清爽装修 两房朝南拎包入住,2室1厅,64.09,3600,56.171
装修清爽，看房方便，拎包入住。,2室1厅,72.5,3650,50.345
"别让你在这座城市的话题,只有事业",2室1厅,49.88,3800,76.183
融信蓝孔雀4居室 03卧,4室1厅,5.5,1190,216.364
金都清宸公寓 3室2厅 5800元,3室2厅,122,5800,47.541
锦绣新村 2室1厅 3500元,2室1厅,54.45,3500,64.279
金星桃源居 2室1厅 4000元,2室1厅,68,4000,58.824
和睦新村 2室1厅 3600元,2室1厅,50,3600,72.0
袁家新院 2室1厅 3200元,2室1厅,65,3200,49.231
大关东六苑4居室 01卧,4室1厅,14,2060,147.143
杭钢尚堂府3居室 02卧,3室1厅,9.4,1830,194.681
联合世纪新筑 3室2厅 8700元,3室2厅,117,8700,74.359
清爽装修全明户型适合一家人居住,3室1厅,67.71,3600,53.168
蚕花园永安坊 2室1厅 3200元,2室1厅,51,3200,62.745
广宇万科公园里4居室 02卧,4室1厅,9.9,1460,147.475
融信学院府 3室1厅 5500元,3室1厅,74,5500,74.324
宋都好房，全明户型，整洁干净，拎包入住,2室1厅,72.99,3700,50.692
假山新村 2室1厅 4200元,2室1厅,64,4200,65.625
塘河新村 3室1厅 5100元,3室1厅,81.18,5100,62.823
风景大院两房朝南，客厅朝南采光没遮挡，随时可以看房,3室2厅,107.72,5500,51.058
平安雅苑全新装修 全明户型 闹中取静 拆迁户首推,2室2厅,65.57,3000,45.753
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
吉如家园 2室1厅 3300元,2室1厅,65,3300,50.769
新安天苑 2室2厅 4800元,2室2厅,88,4800,54.545
蚕花园永安坊 2室2厅 3200元,2室2厅,65,3200,49.231
易构大厦 1室1厅 2600元,1室1厅,43,2600,60.465
美都广场 1室1厅 2700元,1室1厅,43,2700,62.791
北城天地 2室1厅 3800元,2室1厅,99,3800,38.384
莫干新村 1室1厅 3600元,1室1厅,39.94,3600,90.135
远洋杭州大运河商务区 1室1厅 4800元,1室1厅,45,4800,106.667
大关西四苑 2室1厅 4200元,2室1厅,71.66,4200,58.61
香兰名院 2室1厅 4200元,2室1厅,62,4200,67.742
雍荣华庭 3室2厅 7000元,3室2厅,89.69,7000,78.047
锦绣新村 1室1厅 3300元,1室1厅,39.61,3300,83.312
霞湾巷小区 1室1厅 3000元,1室1厅,34,3000,88.235
三宝郡庭 2室1厅 5500元,2室1厅,61.74,5500,89.083
和睦坊 1室1厅 3000元,1室1厅,46.89,3000,63.98
塘河北村 2室1厅 3500元,2室1厅,58,3500,60.345
三宝郡庭 2室1厅 5300元,2室1厅,61.74,5300,85.844
都市水乡水涟苑干净舒爽 采光好,3室2厅,100.2,5000,49.9
近远洋乐堤港，绿地，配套成熟 大浒西苑优质两房,2室1厅,52,3500,67.308
蚕花园永庆坊 2室1厅 3700元,2室1厅,50,3700,74.0
景致公寓 2室2厅 4500元,2室2厅,86.5,4500,52.023
和睦新村 1室1厅 3000元,1室1厅,45,3000,66.667
干净清爽一居室价格实惠家具也齐全,1室1厅,31.62,2500,79.064
塘河北村 1室1厅 2800元,1室1厅,47,2800,59.574
方正荷塘月色 3室2厅 5200元,3室2厅,89,5200,58.427
新华苑 1室1厅 2500元,1室1厅,37,2500,67.568
方正荷塘月色 3室2厅 5000元,3室2厅,88.66,5000,56.395
阳光郡 3室2厅 5000元,3室2厅,89,5000,56.18
祥符佳苑 2室1厅 3200元,2室1厅,63.06,3200,50.745
大关西七苑 2室1厅 3800元,2室1厅,60,3800,63.333
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
户型方正，南北通透，近地铁，两室两厅，跃层,2室2厅,81.34,4000,49.176
融信学院府 2室2厅 5000元,2室2厅,77,5000,64.935
融信学院府 2室2厅 5300元,2室2厅,77.22,5300,68.635
杭钢南苑 2室1厅 3000元,2室1厅,55.3,3000,54.25
融信学院府 3室2厅 6000元,3室2厅,89.9,6000,66.741
北城天地 2室1厅 3500元,2室1厅,50,3500,70.0
户型正气，业主自住，等待有缘的你,2室1厅,65.75,4000,60.837
大浒东苑 2室1厅 3500元,2室1厅,52,3500,67.308
吉如家园 3室1厅 4300元,3室1厅,80,4300,53.75
阅城新座 1室1厅 3800元,1室1厅,60,3800,63.333
干净，舒适，精装修，给你一个家的感觉,3室1厅,92.67,4600,49.639
金星桃源居 2室2厅 3500元,2室2厅,90,3500,38.889
湖墅新村 1室1厅 3100元,1室1厅,37.93,3100,81.73
蚕花园永安坊 2室1厅 3400元,2室1厅,55,3400,61.818
方正荷塘月色 3室1厅 6200元,3室1厅,89.71,6200,69.112
景致公寓 3室2厅 4800元,3室2厅,87.06,4800,55.134
凯德视界 清爽两房 诚心出租 拎包入住,2室1厅,87.79,5000,56.954
虎山公园旁 三房 诚心出租 田园牧歌听泉苑,3室1厅,88.08,4500,51.09
金星桃源居 3室1厅 4200元,3室1厅,90,4200,46.667
手慢则无，精致一房带阳台，劳累上班后的安心港湾！！,1室1厅,46,3100,67.391
勤丰小区 2室1厅 3800元,2室1厅,55.46,3800,68.518
勤丰小区 2室1厅 3500元,2室1厅,55.46,3500,63.109
蓝钻天成 1室1厅 3900元,1室1厅,54.27,3900,71.863
香兰名院 2室1厅 4800元,2室1厅,75,4800,64.0
勤丰小区 2室1厅 3600元,2室1厅,56,3600,64.286
凯德龙湾 3室2厅 15000元,3室2厅,179,15000,83.799
三塘人家 1室1厅 3100元,1室1厅,50,3100,62.0
复地壹中心 1室1厅 3600元,1室1厅,57,3600,63.158
雍荣华庭 3室2厅 7000元,3室2厅,89,7000,78.652
杭钢西苑 2室2厅 3200元,2室2厅,76,3200,42.105
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
运河CBD，办公居住两用，高品质，高服务，等您来吆,1室1厅,96,9000,93.75
房东新装，大浒西苑稀罕户型，温馨舒适。,3室2厅,100.26,7500,74.806
香兰名院 2室1厅 4800元,2室1厅,61,4800,78.689
房屋面积大，装修清爽，两房朝南,3室1厅,94.7,5000,52.798
此房楼层居中，三房两卫，得房率高，赠送面积多。,3室1厅,87.56,5300,60.53
吉兴公寓 2室2厅 6200元,2室2厅,80,6200,77.5
大关西三苑，沿公园的两室一厅，采光很好，通透明亮,2室1厅,57.78,3800,65.767
龙门公寓 1室1厅 2500元,1室1厅,36.29,2500,68.89
和新南苑 2室1厅 4200元,2室1厅,64,4200,65.625
都景精装房，两房好户型，拎包入住好选择,2室1厅,60,4500,75.0
蓝钻天成 1室1厅 3800元,1室1厅,43,3800,88.372
香兰名院 1室1厅 3500元,1室1厅,45,3500,77.778
大关南六苑 2室1厅 4200元,2室1厅,62.48,4200,67.222
金星桃源居 2室1厅 3099元,2室1厅,65,3099,47.677
香兰名院 2室1厅 5000元,2室1厅,75,5000,66.667
香兰名院 2室1厅 4500元,2室1厅,75,4500,60.0
大关南四苑 2室1厅 3200元,2室1厅,48.66,3200,65.762
勤丰小区 2室1厅 3800元,2室1厅,55.46,3800,68.518
勤丰小区 2室1厅 3500元,2室1厅,55.46,3500,63.109
蓝钻天成 1室1厅 3900元,1室1厅,54.27,3900,71.863
香兰名院 2室1厅 4800元,2室1厅,75,4800,64.0
勤丰小区 2室1厅 3600元,2室1厅,56,3600,64.286
凯德龙湾 3室2厅 15000元,3室2厅,179,15000,83.799
三塘人家 1室1厅 3100元,1室1厅,50,3100,62.0
复地壹中心 1室1厅 3600元,1室1厅,57,3600,63.158
雍荣华庭 3室2厅 7000元,3室2厅,89,7000,78.652
杭钢西苑 2室2厅 3200元,2室2厅,76,3200,42.105
都景公寓 2室1厅 4600元,2室1厅,67,4600,68.657
景瑞申花壹号院 3室2厅 6800元,3室2厅,100,6800,68.0
伟华苑小区 1室1厅 3200元,1室1厅,47,3200,68.085
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
都市水乡水清苑 3室2厅 5000元,3室2厅,98,5000,51.02
万家花城一期 2室2厅 5700元,2室2厅,92.83,5700,61.403
大关西七苑 3室1厅 4800元,3室1厅,70,4800,68.571
隽逸花苑 2室1厅 3800元,2室1厅,67,3800,56.716
蚕花园永宁坊 1室1厅 2800元,1室1厅,37.95,2800,73.781
蚕花园永庆坊 1室1厅 3000元,1室1厅,53.19,3000,56.402
都景公寓 2室1厅 4600元,2室1厅,67,4600,68.657
景瑞申花壹号院 3室2厅 6800元,3室2厅,100,6800,68.0
伟华苑小区 1室1厅 3200元,1室1厅,47,3200,68.085
莫干新村 2室1厅 3700元,2室1厅,51,3700,72.549
沈塘东村 2室1厅 4400元,2室1厅,49,4400,89.796
大关南五苑 2室1厅 3800元,2室1厅,53.3,3800,71.295
蚕花园永宁坊 2室1厅 3700元,2室1厅,70,3700,52.857
金地繁华里 1室1厅 9450元,1室1厅,105,9450,90.0
盛德欣苑 3室2厅 8500元,3室2厅,151,8500,56.291
清水公寓上岛公馆 东边套 运河景观房 办公居家皆宜,4室2厅,203,10200,50.246
左岸花园三房清爽装修，阳光楼层,4室1厅,150,7500,50.0
宜家时代 2室1厅 4000元,2室1厅,69.9,4000,57.225
精装修 两房朝南  卫生间干湿分离  卧室有落地窗阳台,3室2厅,88.94,7500,84.327
锦秀兰庭 2室1厅 3600元,2室1厅,80,3600,45.0
叶青苑 3室1厅 6250元,3室1厅,100,6250,62.5
开发商精装 精心设计 为求品质生活 一家人之佳选,2室2厅,88.07,5900,66.992
大关南八苑 2室1厅 3600元,2室1厅,62,3600,58.065
西湖文化广场，沈塘桥办公装修，办公出租，随时入驻,2室1厅,73.55,5300,72.06
杭钢南苑 2室1厅 3200元,2室1厅,57,3200,56.14
德泰御峰大厦 1室0厅 3400元,1室0厅,40.38,3400,84.2
中国铁建国际汇 1室1厅 3800元,1室1厅,43.15,3800,88.065
万通中心 1室1厅 5600元,1室1厅,80,5600,70.0
桥西锦绣文澜阁，运河边，大三房出租,3室2厅,128.43,5100,39.71
德胜新村 2室1厅 3900元,2室1厅,48,3900,81.25
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
蚕花园永和坊 2室1厅 3600元,2室1厅,58,3600,62.069
五一新村 4室2厅 6300元,4室2厅,130,6300,48.462
中国铁建国际汇 1室1厅 3000元,1室1厅,48,3000,62.5
北城天地 2室2厅 4200元,2室2厅,54,4200,77.778
蚕花园永和坊 3室2厅 5000元,3室2厅,90,5000,55.556
米市巷两房精装修，拎包入住，房东这边诚心出租。,2室1厅,60,4500,75.0
品质小区运河景观左岸花园5房带露台，拎包入住,5室2厅,157,7500,47.771
大浒西苑 2室1厅 4200元,2室1厅,70,4200,60.0
杭钢尚堂府 2室1厅 5200元,2室1厅,89,5200,58.427
和睦新村 2室1厅 4000元,2室1厅,56,4000,71.429
富越香郡 3室2厅 6200元,3室2厅,118,6200,52.542
雍景湾4居室 03卧,4室1厅,4.7,1130,240.426
吉庆院 2室2厅 4500元,2室2厅,75,4500,60.0
三房两卫，新出租，带车位，家具家电可以配齐,3室1厅,88.4,6600,74.661
雍景湾 3室1厅 5600元,3室1厅,89.89,5600,62.298
德泰御峰大厦 1室0厅 3400元,1室0厅,40.39,3400,84.179
优质楼盘，CBD位置，城北标杆楼盘，开发商精装修,4室2厅,191.38,21000,109.729
三宝新村 2室0厅 3600元,2室0厅,45,3600,80.0
大关西七苑 1室1厅 2800元,1室1厅,40,2800,70.0
信步闲庭 3室2厅 6900元,3室2厅,130,6900,53.077
吉如家园 2室1厅 3800元,2室1厅,64,3800,59.375
浙旅德信西宸 3室2厅 6300元,3室2厅,89,6300,70.787
大关东四苑 2室1厅 3700元,2室1厅,51.98,3700,71.181
和睦坊 2室1厅 3800元,2室1厅,75,3800,50.667
大关东二苑 2室1厅 3500元,2室1厅,66.8,3500,52.395
南北西岸 2室1厅 5000元,2室1厅,88.72,5000,56.357
正兴堂弄 2室1厅 3900元,2室1厅,55,3900,70.909
大关南六苑 1室1厅 2500元,1室1厅,36,2500,69.444
依锦苑 2室2厅 4100元,2室2厅,90,4100,45.556
德胜新村 2室1厅 3800元,2室1厅,56,3800,67.857
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
香兰名院 2室1厅 4600元,2室1厅,65,4600,70.769
阳光郡 4室2厅 8500元,4室2厅,138,8500,61.594
大面积的两房还带有南北两个阳台,2室1厅,94.27,5000,53.039
小河路365号 2室1厅 3500元,2室1厅,53,3500,66.038
舒适大三房，出行便利，配套完善,3室2厅,113,5000,44.248
锦绣新村 1室0厅 2700元,1室0厅,32.55,2700,82.949
德胜新村 3室1厅 4000元,3室1厅,60,4000,66.667
小河路 2室1厅 3500元,2室1厅,48,3500,72.917
蚕花园永兴坊 2室1厅 4000元,2室1厅,81,4000,49.383
稻香园南区 2室1厅 4000元,2室1厅,42.47,4000,94.184
5房 可做                                     宿舍,5室1厅,102.87,5500,53.466
锦绣文澜阁 2室1厅 3100元,2室1厅,55,3100,56.364
楼层好，位置好，两房朝南，采光好，南北通风，,3室1厅,81.25,5400,66.462
三房朝南，家电齐全，拎包入住。,3室2厅,95.31,5000,52.46
香兰名院 1室1厅 3500元,1室1厅,45,3500,77.778
蚕花园永和坊 2室2厅 4000元,2室2厅,86,4000,46.512
香兰名院 2室2厅 5000元,2室2厅,75,5000,66.667
信义坊 2室1厅 4500元,2室1厅,86,4500,52.326
七古登人家 2室1厅 4000元,2室1厅,59.6,4000,67.114
万家花城一期 3室2厅 8500元,3室2厅,133.75,8500,63.551
户型正气，南北通透，采光好，精装修，边套房楼层好,3室2厅,117.15,8000,68.289
大关南六苑 2室1厅 3200元,2室1厅,60.23,3200,53.13
宜家时代 2室2厅 4500元,2室2厅,62.12,4500,72.44
景瑞悦西台 3室1厅 7500元,3室1厅,90,7500,83.333
融信学院府 4室1厅 8600元,4室1厅,120,8600,71.667
再错过这套精装修的一居室就不知道要等多久,1室1厅,52.59,4500,85.568
大浒东苑 2室2厅 5000元,2室2厅,89,5000,56.18
湖墅新村 2室1厅 3800元,2室1厅,78,3800,48.718
中国铁建国际汇 1室2厅 3800元,1室2厅,60,3800,63.333
精装三室自住标准，精致生活的开始,3室2厅,89,6500,73.034
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
桥西锦绣文澜阁，运河边，大三房出租,3室2厅,128.43,5100,39.71
德胜新村 2室1厅 3900元,2室1厅,48,3900,81.25
蚕花园永和坊 2室1厅 3600元,2室1厅,58,3600,62.069
五一新村 4室2厅 6300元,4室2厅,130,6300,48.462
中国铁建国际汇 1室1厅 3000元,1室1厅,48,3000,62.5
宜家时代 2室1厅 4000元,2室1厅,69.9,4000,57.225
北城天地 2室2厅 4200元,2室2厅,54,4200,77.778
蚕花园永和坊 3室2厅 5000元,3室2厅,90,5000,55.556
米市巷两房精装修，拎包入住，房东这边诚心出租。,2室1厅,60,4500,75.0
中国铁建国际汇 1室1厅 3800元,1室1厅,43.15,3800,88.065
品质小区运河景观左岸花园5房带露台，拎包入住,5室2厅,157,7500,47.771
大浒西苑 2室1厅 4200元,2室1厅,70,4200,60.0
杭钢尚堂府 2室1厅 5200元,2室1厅,89,5200,58.427
和睦新村 2室1厅 4000元,2室1厅,56,4000,71.429
和睦坊 2室1厅 3800元,2室1厅,75,3800,50.667
大关东二苑 2室1厅 3500元,2室1厅,66.8,3500,52.395
南北西岸 2室1厅 5000元,2室1厅,88.72,5000,56.357
正兴堂弄 2室1厅 3900元,2室1厅,55,3900,70.909
富越香郡 3室2厅 6200元,3室2厅,118,6200,52.542
雍景湾4居室 03卧,4室1厅,4.7,1130,240.426
吉庆院 2室2厅 4500元,2室2厅,75,4500,60.0
三房两卫，新出租，带车位，家具家电可以配齐,3室1厅,88.4,6600,74.661
雍景湾 3室1厅 5600元,3室1厅,89.89,5600,62.298
德泰御峰大厦 1室0厅 3400元,1室0厅,40.39,3400,84.179
优质楼盘，CBD位置，城北标杆楼盘，开发商精装修,4室2厅,191.38,21000,109.729
三宝新村 2室0厅 3600元,2室0厅,45,3600,80.0
大关西七苑 1室1厅 2800元,1室1厅,40,2800,70.0
信步闲庭 3室2厅 6900元,3室2厅,130,6900,53.077
大家运河之星 3室2厅 3800元,3室2厅,89,3800,42.697
左岸花园两房清爽装修，阳光楼层，拎包入住,2室2厅,84.23,5000,59.361
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
干净，舒适，精装修，给你一个家的感觉,2室1厅,63.88,3400,53.225
清爽装修，家电齐全，拎包入住，好房好家好温馨！,2室2厅,66.23,4380,66.133
信义坊 2室1厅 4500元,2室1厅,85,4500,52.941
阮家居 1室1厅 2800元,1室1厅,50,2800,56.0
吉庆院 1室1厅 3300元,1室1厅,38,3300,86.842
亲仁里2003年，看房方便，装修清爽,3室2厅,113.16,5600,49.487
房东诚心出租金隅田员外精装修两室一厅,2室2厅,87.52,5200,59.415
登云阁 1室1厅 3500元,1室1厅,40,3500,87.5
香兰名院 2室1厅 5600元,2室1厅,75,5600,74.667
东方福邸 3室1厅 6000元,3室1厅,89,6000,67.416
富越香郡盈座 1室0厅 3800元,1室0厅,52.32,3800,72.63
顺发吉祥半岛 3室2厅 8500元,3室2厅,131.18,8500,64.796
锦秀兰庭 2室2厅 3500元,2室2厅,80.1,3500,43.695
大关西四苑 1室1厅 5000元,1室1厅,108.87,5000,45.926
湖墅新村 2室1厅 6000元,2室1厅,57.1,6000,105.079
德胜新村 2室1厅 3800元,2室1厅,39.9,3800,95.238
德泰御峰大厦 1室1厅 3500元,1室1厅,40.3,3500,86.849
都景公寓 2室1厅 5000元,2室1厅,75,5000,66.667
凯德视界 1室2厅 4600元,1室2厅,71.08,4600,64.716
凯德湖墅 3室1厅 7000元,3室1厅,120,7000,58.333
大关东一苑 2室1厅 4000元,2室1厅,60,4000,66.667
大关东九苑精装一室出租，精质的房源适合精质的你,1室1厅,40,3500,87.5
品牌开发商 温馨两居室出租 精装交付配置齐全,2室2厅,88.62,5500,62.063
金隅田员外精装两房，房东诚心出租,2室2厅,88.36,4200,47.533
吉庆里精装2房，房东自住装修，价格低,2室1厅,30.15,3800,126.036
清爽装修全明户型适合一家人居住,2室1厅,52.28,3500,66.947
南北西岸 2室2厅 4500元,2室2厅,80,4500,56.25
大浒东苑 精装三房 南北通透楼层佳 视野好 随时看房,3室2厅,102.96,5800,56.333
中国铁建双湾国际 树人大学，城市学院，配套齐全,1室1厅,37.6,3000,79.787
新安天苑2居室 02卧,2室1厅,13.5,2060,152.593
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
左岸花园 4室2厅 7500元,4室2厅,150,7500,50.0
大关东五苑 2室1厅 3600元,2室1厅,61.24,3600,58.785
蚕花园永和坊 2室1厅 3500元,2室1厅,45,3500,77.778
浙旅德信西宸 3室2厅 7500元,3室2厅,89,7500,84.27
昆仑橡树园 3室2厅 10000元,3室2厅,135,10000,74.074
