标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
金色海岸 3室2厅 25000元,3室2厅,210,25000,119.048
凤山花苑   大三房  小区品质好,3室1厅,117.06,6800,58.09
建国南苑 2室1厅 4300元,2室1厅,47.37,4300,90.775
主城区  精装两房   价格美丽   你值得拥有的家,2室1厅,49,4300,87.755
滨江新苑 2室1厅 4500元,2室1厅,51.26,4500,87.788
望江府 3室2厅 23000元,3室2厅,139,23000,165.468
城南家园 2室1厅 3600元,2室1厅,65,3600,55.385
近江家园二园 2室1厅 4800元,2室1厅,54,4800,88.889
南瓦坊 2室1厅 4500元,2室1厅,72,4500,62.5
钱塘人家 1室1厅 3800元,1室1厅,36.59,3800,103.854
海运国际  单身公寓  江景房 视野好,1室1厅,63.3,5500,86.888
望江公寓  大三房  精装电梯  建兰,3室2厅,134.96,9500,70.391
候潮公寓精装2房3楼好楼层先到先得,2室1厅,54.25,4200,77.419
南瓦坊 2室1厅 4000元,2室1厅,51,4000,78.431
青年路，西湖边，精装三房全新家电没有味道，随时看房,3室1厅,75.76,7500,98.997
城南家园精装电梯两房，楼层高视野好,2室1厅,55,4800,87.273
望江新丰苑 3室2厅 9000元,3室2厅,140,9000,64.286
清泰南苑 3室1厅 5800元,3室1厅,60.43,5800,95.979
老浙大直路11-25号 1室1厅 3500元,1室1厅,38.4,3500,91.146
家是理想的港湾，而此房就是你理想放飞的地方。,3室2厅,127,12000,94.488
金色家园，滨江品质，三房全明户型，有车位，拎包入住,3室2厅,145,12000,82.759
【房源标题】：城南家园 电梯房 简装 拎包入住,2室1厅,65,5200,80.0
浣纱路 2室1厅 6000元,2室1厅,85,6000,70.588
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
横河新村 2室1厅 3800元,2室1厅,40.86,3800,93.0
滨江新苑 2室1厅 5000元,2室1厅,58.63,5000,85.281
近江苑 2室1厅 5000元,2室1厅,63,5000,79.365
康都紫轩 4室2厅 14500元,4室2厅,181.46,14500,79.907
地铁复兴站百米 上城板块十亩田小区 配套成熟,2室1厅,60,4100,68.333
太平巷 两房出租 清爽装修  拎包入住,2室1厅,68.7,4000,58.224
凤凰南苑 2室1厅 4500元,2室1厅,58,4500,77.586
复兴南苑 二室一厅 ，南北通透， 家电齐全 拎包入住,2室1厅,59.38,4800,80.835
马市街 2室1厅 5500元,2室1厅,58.64,5500,93.793
枝头巷，交通方便，生活便利户型正气,1室1厅,44.88,4000,89.127
金色海岸 3室2厅 25000元,3室2厅,210,25000,119.048
横吉祥巷 2室1厅 5000元,2室1厅,85,5000,58.824
直箭道巷婚房装修精装小2房南北通透,2室1厅,62,4500,72.581
民安苑 地铁口 四房朝南 户型正气 家电齐全 拎包入住,4室2厅,152.79,8000,52.359
建国南苑 2室1厅 4800元,2室1厅,55,4800,87.273
尚筑金座 1室1厅 4500元,1室1厅,41.14,4500,109.383
春江花月 精装3房 诚心出租  拎包入住,2室2厅,161.14,15000,93.087
金都华府 三房 精装修 拎包入住,3室2厅,131.42,13333,101.453
阳光海岸 演绎全江景传奇 享受品质生活,4室2厅,387,75000,193.798
上城湖滨，便宜的两房清爽装修，随时看房！！！！！！,2室1厅,64.15,4500,70.148
近江家园六园 3室1厅 6500元,3室1厅,101.82,6500,63.838
近江家园八园 2室1厅 5300元,2室1厅,63,5300,84.127
江枫苑  电梯房  精装修 大三房,3室2厅,105,7000,66.667
绿城蓝色钱江 1室1厅 6500元,1室1厅,55,6500,118.182
向阳新村 1室1厅 3500元,1室1厅,30,3500,116.667
金狮苑  大六房 电梯房   跃三层,6室2厅,220,18000,81.818
清爽装修，随时入住，环境幽雅，家的感觉,2室1厅,65.67,4800,73.093
日信国际DOUBLE时代 2室1厅 7500元,2室1厅,47.83,7500,156.805
此房视野宽阔 简单装修 房东诚租,2室1厅,63.3,4800,75.829
直箭道巷  拎包入住 家电齐全,2室1厅,69,5000,72.464
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
紫花苑楼梯房 采光良好 拎包入住,2室1厅,54.09,4300,79.497
大王庙巷小区 2室1厅 4500元,2室1厅,50.41,4500,89.268
南星公寓 2室1厅 4500元,2室1厅,54,4500,83.333
春江花月 1室1厅 6500元,1室1厅,69.56,6500,93.445
近江家园七园 2室1厅 采光好 户型正,2室1厅,80,5000,62.5
绿城蓝色钱江 1室1厅 12000元,1室1厅,102,12000,117.647
江城路小区 精装修 采光好 楼层适中 交通便利,2室1厅,89.32,5500,61.576
近江家园二园 2室1厅 5500元,2室1厅,64.42,5500,85.377
文华苑 2室1厅 5000元,2室1厅,60,5000,83.333
近江家园八园 2室1厅 5000元,2室1厅,63.38,5000,78.889
秋涛南苑一室，诚心出租，家具家电齐全，拎包入住,1室1厅,37.44,3400,90.812
近江苑 2室1厅 5000元,2室1厅,63,5000,79.365
横河新村 2室1厅 3800元,2室1厅,40.86,3800,93.0
永宁院 1室1厅 3700元,1室1厅,48,3700,77.083
地铁复兴站百米 上城板块十亩田小区 配套成熟,2室1厅,60,4100,68.333
太平巷 两房出租 清爽装修  拎包入住,2室1厅,68.7,4000,58.224
康都紫轩 4室2厅 14500元,4室2厅,181.46,14500,79.907
袁井巷      好楼层     自住装修,2室1厅,53,4600,86.792
民安苑  两室一厅   4200,2室1厅,52.16,4200,80.521
袁井巷          建兰边上         好楼层,2室1厅,60,4500,75.0
美政花苑2室2厅，拎包入住，低楼层,2室1厅,87,4800,55.172
美政装修三房 拎包入住 客厅带阳台,3室2厅,93.03,7000,75.245
滨江新苑 2室1厅 5000元,2室1厅,58.63,5000,85.281
鸥江公寓 3室1厅 6800元,3室1厅,100.74,6800,67.5
天福花园 1室1厅 3500元,1室1厅,40.62,3500,86.164
燕子弄 1室1厅 2800元,1室1厅,39.3,2800,71.247
近江家园八园 2室1厅 5300元,2室1厅,63,5300,84.127
上城湖滨，便宜的两房清爽装修，随时看房！！！！！！,2室1厅,64.15,4500,70.148
近江家园六园 3室1厅 6500元,3室1厅,101.82,6500,63.838
直箭道巷婚房装修精装小2房南北通透,2室1厅,62,4500,72.581
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
保安桥河下 1室1厅 3200元,1室1厅,34.29,3200,93.322
赞成林风大四房出租清爽装修有车位，看房方便,4室2厅,190.7,21000,110.121
直箭道巷 2室1厅 5000元,2室1厅,63.2,5000,79.114
可以看到钱塘江的房子 大三房胜利,3室2厅,176,18000,102.273
近江家园六园 2室1厅 5500元,2室1厅,60.7,5500,90.61
近江家园二园 2室1厅 4800元,2室1厅,54,4800,88.889
家是理想的港湾，而此房就是你理想放飞的地方。,3室2厅,127,12000,94.488
金色家园，滨江品质，三房全明户型，有车位，拎包入住,3室2厅,145,12000,82.759
南瓦坊 2室1厅 4000元,2室1厅,51,4000,78.431
华龙家园 2室1厅 5000元,2室1厅,67,5000,74.627
望江新丰苑 3室2厅 9000元,3室2厅,140,9000,64.286
清泰南苑 3室1厅 5800元,3室1厅,60.43,5800,95.979
老浙大直路11-25号 1室1厅 3500元,1室1厅,38.4,3500,91.146
鸥江公寓 3室1厅 6800元,3室1厅,100.74,6800,67.5
天福花园 1室1厅 3500元,1室1厅,40.62,3500,86.164
燕子弄 1室1厅 2800元,1室1厅,39.3,2800,71.247
金钱巷32号 3室1厅 5200元,3室1厅,80,5200,65.0
金狮苑   精装修  可当两房  双阳台,1室1厅,47.23,4000,84.692
钱江时代公寓 2室1厅 8000元,2室1厅,97,8000,82.474
绿城蓝色钱江 3室2厅 25000元,3室2厅,157,25000,159.236
光复路~解放路~邮电路~浣纱路~定安路地铁口精装修,2室1厅,70,4900,70.0
翰林花园 3室2厅 10000元,3室2厅,121.07,10000,82.597
耀江福村 2室1厅 4500元,2室1厅,64.79,4500,69.455
建国南苑 1室1厅 3200元,1室1厅,44.6,3200,71.749
四季青旁 可做淘宝办公 看房方便,2室1厅,75,5300,70.667
复兴南苑 标注二室一厅 采光充足 全明户型,2室1厅,47.79,4000,83.7
小营民居 3室2厅 11000元,3室2厅,93.21,11000,118.013
复兴北苑 二室一厅 ，南北通透， 家电齐全 拎包入住,2室1厅,47.3,4000,84.567
西湖边少有大四室 全明户型 拎包入住 带一个车库,4室2厅,138.21,11000,79.589
文华苑 2室1厅 4500元,2室1厅,60.23,4500,74.714
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
钱江时代公寓 2室1厅 8000元,2室1厅,97,8000,82.474
绿城蓝色钱江 3室2厅 25000元,3室2厅,157,25000,159.236
保安桥河下低楼层两房朝南小2房,2室1厅,53,4300,81.132
民安苑 地铁口 一房朝南一房朝北 家电齐全 拎包入住,2室1厅,43.74,3900,89.163
耀江福村 2室1厅 4500元,2室1厅,64.79,4500,69.455
翰林花园 3室2厅 10000元,3室2厅,121.07,10000,82.597
西湖边少有大四室 全明户型 拎包入住 带一个车库,4室2厅,138.21,11000,79.589
日信国际DOUBLE时代 2室1厅 8100元,2室1厅,61,8100,132.787
一楼沿街的一个小商铺，解百新世纪商厦边哦,1室1厅,48.2,8500,176.349
海运国际大厦 1室1厅 6500元,1室1厅,66.2,6500,98.187
精装大两房，南北通透，自住保养很好。,2室1厅,50.29,5200,103.4
建国南苑 1室1厅 3500元,1室1厅,49,3500,71.429
南山路西湖边，西湖天地，景与静相结合,2室1厅,51.39,4800,93.403
怡和苑 2室2厅 5700元,2室2厅,89.68,5700,63.559
康都紫轩 3室2厅 7500元,3室2厅,137.57,7500,54.518
建国南苑 2室2厅 5600元,2室2厅,87,5600,64.368
莫邪塘南村 2室1厅 3000元,2室1厅,49,3000,61.224
春江花月 3室2厅 13000元,3室2厅,179.56,13000,72.399
简装三房，价格低，采光好，通风好。,3室1厅,85,5600,65.882
尚筑金座 2室1厅 6500元,2室1厅,120,6500,54.167
世纪坊 2室1厅 5500元,2室1厅,77.79,5500,70.703
怡和苑 3室2厅 7600元,3室2厅,119.35,7600,63.678
望江新丰苑 6室2厅 11000元,6室2厅,150,11000,73.333
秋涛南苑大一居，装修清爽，拎包入住,1室1厅,46.04,3500,76.021
城南家园    拎包入住  家电齐全,2室1厅,60,4700,78.333
信余里 1室1厅 3800元,1室1厅,36,3800,105.556
过军桥河下 2室1厅 4600元,2室1厅,60,4600,76.667
金色家园三房清爽装修带车位出租13000,3室2厅,131,13000,99.237
滨江品质，三房清新婚房首租，自带车位，好房东,3室2厅,104.63,10000,95.575
此房卫3室1厅1厨1卫的 双卧室带阳台一房朝北,3室2厅,78.75,5800,73.651
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
世纪坊 2室1厅 5500元,2室1厅,77.79,5500,70.703
怡和苑 3室2厅 7600元,3室2厅,119.35,7600,63.678
望江新丰苑 6室2厅 11000元,6室2厅,150,11000,73.333
秋涛南苑大一居，装修清爽，拎包入住,1室1厅,46.04,3500,76.021
城南家园    拎包入住  家电齐全,2室1厅,60,4700,78.333
主城区  精装两房   价格美丽   你值得拥有的家,2室1厅,49,4300,87.755
凤山花苑   大三房  小区品质好,3室1厅,117.06,6800,58.09
建国南苑 2室1厅 4300元,2室1厅,47.37,4300,90.775
望江府 3室2厅 23000元,3室2厅,139,23000,165.468
城南家园 2室1厅 3600元,2室1厅,65,3600,55.385
海运国际  单身公寓  江景房 视野好,1室1厅,63.3,5500,86.888
滨江新苑 2室1厅 4500元,2室1厅,51.26,4500,87.788
尚筑金座 1室1厅 4500元,1室1厅,41.14,4500,109.383
金狮苑 清爽装修  大两房 价格实惠,2室2厅,77,6500,84.416
美政花苑2室2厅，精装修，低楼层,2室2厅,88.87,6000,67.514
春江花月 简单装修 家电齐全 交通便利 拎包入住,1室1厅,67.47,6000,88.928
金色海岸 4室2厅 55000元,4室2厅,327,55000,168.196
马市街 2室1厅 4200元,2室1厅,62.72,4200,66.964
清怡花苑   江景房 做办公  电梯房,5室2厅,193,7000,36.269
绿城蓝色钱江 3室2厅 30000元,3室2厅,177.93,30000,168.606
信余里清爽一房 价格实惠 采光很好,1室0厅,31.98,2800,87.555
凤山路79号，拎包入住。价格实惠,2室1厅,72.3,4600,63.624
保安桥河下 清爽装修 采光优良,3室1厅,59.87,4600,76.833
水亭址三房一厅东边套 户型正气 采光好,3室1厅,75,6000,80.0
世纪坊 2室2厅 5200元,2室2厅,60.09,5200,86.537
望江府 4室2厅 20800元,4室2厅,139.94,20800,148.635
南班巷 1室0厅 3500元,1室0厅,30,3500,116.667
候潮公寓低价单间房，采光好价格实惠,1室1厅,53,3500,66.038
候潮公寓 1室0厅 3200元,1室0厅,34,3200,94.118
建国南苑 3室1厅 6000元,3室1厅,79,6000,75.949
标题,户型,面积（平方）,房租（元/月）,每平方房租（元）
紫花苑 2室1厅 4100元,2室1厅,60,4100,68.333
正气的二居室，采光通风好，情侣，一家人的好房子,2室1厅,71.18,5500,77.269
清爽一房 精装修电梯房 房东诚心出租,1室2厅,76.51,6000,78.421
近江家园七园 1室1厅 4000元,1室1厅,42.48,4000,94.162
近江家园六园 2室1厅 5300元,2室1厅,79,5300,67.089
定安名都 定安路地铁站 西湖银泰 河坊街,3室2厅,151.39,25000,165.136
耀江福村 3室2厅 7500元,3室2厅,100,7500,75.0
康都紫轩 2室1厅 8000元,2室1厅,88.73,8000,90.161
复兴地铁口，整套一室一厅，楼层佳，采光好,1室1厅,33.7,2900,86.053
金色海岸 3室2厅 26000元,3室2厅,230,26000,113.043
翰林花园 3室2厅 9300元,3室2厅,121.46,9300,76.568
定安路地铁站400米，单身小青年或者小情侣住很合适,1室1厅,30.42,3100,101.907
惠民路小区 空气通透 近地铁 进西湖,2室1厅,56,5300,94.643
柳浪新苑 近西湖 近吴山 近柳浪闻莺,2室1厅,47,4200,89.362
中山苑 新上房源 边套采光好 户型正气,3室2厅,105.13,7500,71.34
定安苑小区 一室一厅 西湖银泰旁,1室1厅,45.7,4500,98.468
中山苑 窗含吴山 比邻西湖 繁华中的静谧,3室1厅,158.88,9000,56.647
吴山边 大两房 采光好 拎包入住,2室1厅,84.7,6500,76.741
祠堂巷小区 2室2厅 可长期稳定出租,2室2厅,75,7000,93.333
孝子坊 一室一厅 简单装修 西湖边,1室1厅,30,3500,116.667
定安东苑 中楼层一居室 随时入住,1室1厅,37.37,4200,112.39
十三湾巷 2室2厅 6500元,2室2厅,60,6500,108.333
梅花碑 2室1厅 4900元,2室1厅,80,4900,61.25
羊血弄 2室1厅 4500元,2室1厅,67.02,4500,67.144
复兴南苑 标注一室一厅 采光充足,1室1厅,37.37,3000,80.278
金都华府 两房精装 家电齐全 拎包入住,2室1厅,104.96,6800,64.787
一号线定安地铁，西湖边的电梯三房。,3室2厅,121.75,10000,82.136
金隅学府 3室1厅 12000元,3室1厅,89,12000,134.831
精装四房 阳光充足 拎包入住 看房方便,4室2厅,159.19,10000,62.818
生活不止您眼前看到的，还有。。。,2室1厅,52.15,6000,115.053
