,No,page,nick,time,content,area,ip,ip_loc,length,against,agree,channel,hot,level,login_type,media_type,mid
46,47,3,老实憨厚的阿强__,2018-08-14 06:56:54,独树一帜的评论,山东临沂,112.9.222.106,"山东省 移动 * GeoIP: Linyi, Shandong, China * China Mobile Shandong",18,1534201014,0,cj,0,1,0,0,5B720CB6-7009DE6A-14975F35A-8C5-951
47,48,3,房振东0418,2018-08-14 06:45:03,其实90后也嚯嚯了一小部分,山东滨州,112.252.15.193,"山东省滨州市 联通 * GeoIP: Binzhou, Shandong, China * China Unicom Shandong",19,1534200303,0,cj,0,2,0,0,5B7209ED-70FC0FC1-15362B2A5-8C5-86C
48,49,3,Song-Zheng,2018-08-13 23:39:29,刚满18岁建行就不止一次的打电话让我办信用卡，烦到直接拉黑了,宁夏,203.93.166.203,"宁夏自治区 联通 * GeoIP: Beijing, China * China Unicom Liaoning",39,1534174769,2,cj,0,1,0,0,5B71A62F-CB5DA6CB-80D48E28-8C5-92C
49,50,3,暗夜下的咏叹,2018-08-13 21:26:09,这锅不背,江西南昌,223.104.170.179,"江西省 移动 * GeoIP: Nanchang, Jiangxi, China * China Mobile Guangdong",4,1534166769,0,cj,0,0,0,0,5B7186EF-DF68AAB3-1537600E8-8C5-966
50,51,3,我一个人盼望着我们仨,2018-08-13 21:19:01,放你娘的屁，我看到的都是一帮朝气蓬勃的年轻人,浙江台州,113.214.212.78,"浙江省杭州市 华数 * GeoIP: Liaoning, China * Huashu media&Network Limited",22,1534166341,1,cj,0,0,0,0,5B718545-71D6D44E-15BACD1B8-8C5-8C3
51,52,3,邪魅BYLHX,2018-08-13 20:45:25,没办法啊，辛辛苦苦攒点钱都给骗光了，以后转换观念，借着吃吧,甘肃白银,60.165.77.79,"甘肃省兰州市 电信 * GeoIP: Lanzhou, Gansu, China * China Telecom Gansu",29,1534164325,0,cj,0,0,0,0,5B717D65-3CA54D4F-13923B49B-8C5-8FD
52,53,3,Sscallion,2018-08-13 19:58:30,真的有很多,上海,183.193.178.118,"上海市 移动 * GeoIP: Shanghai, China * Shanghai Mobile Communications Co.,Ltd.",12,1534161510,1,cj,0,1,0,0,5B717262-B7C1B276-9D5AC5D9-8C5-835
53,54,3,梦只剩想了,2018-08-13 18:53:27,嫂子微博是哪个，我艾特她一下,广东深圳,112.97.55.115,"广东省深圳市 联通 * GeoIP: Shenzhen, Guangdong, China * China Unicom Shenzen network",26,1534157607,0,cj,0,1,0,0,5B716326-70613773-69C6D1E5-8C5-867
54,55,3,恰似那场青春-Lxp,2018-08-13 18:35:02,你看，我就不买新款智能手机，星巴克，大牌衣服。。[摊手],河南开封,61.158.148.67,"河南省郑州市 联通 * GeoIP: Zhengzhou, Henan, China * China Unicom Henan",28,1534156502,0,cj,0,0,0,0,5B715ED2-3D9E9443-D909919C-8C5-8C5
55,56,3,么么小小荆儿,2018-08-13 17:31:07,考研英语每日一句的题目[喵喵][喵喵][喵喵][喵喵][喵喵][喵喵][喵喵][喵喵]@何凯文,湖北武汉,219.140.118.245,"湖北省武汉市 电信 * GeoIP: Wuhan, Hubei, China * China Telecom network in Wuhan city Hubei province",47,1534152667,0,cj,0,0,0,0,5B714FDB-DB8C76F5-1387D65FC-8C5-924
56,57,3,集序者,2018-08-13 16:53:48,甩的一口好锅,江西,117.136.60.92,"江西省 移动 * GeoIP: Jingdezhen, Jiangxi, China * China Mobile Guangdong",6,1534150428,1,cj,0,0,0,0,5B71471A-75883C5C-82355412-8C5-7E9
57,58,3,吃帆开,2018-08-13 16:51:30,6666，你买只能手机要贷款，要贷款的只有上天的房,湖南长沙,220.202.152.117,"湖南省 联通 * GeoIP: Changsha, Hunan, China * China Unicom Liaoning",25,1534150290,1,cj,0,0,0,0,5B714692-DCCA9875-156618224-8C5-801
58,59,3,没有标点符号真难,2018-08-13 16:15:23,房贷呢？,广东,223.104.63.90,"广东省深圳市 移动 * GeoIP: Guangzhou, Guangdong, China * China Mobile",4,1534148123,0,cj,0,0,0,0,5B713E1A-DF683F5A-E9D0D877-8C5-900
59,60,3,我是大兔子来了,2018-08-13 15:22:56,有因才有果,北京,180.149.134.10,"北京市 电信 * GeoIP: Beijing, China * ChinaTelecom Group Beijing Ltd,Co",5,1534144976,0,cj,0,0,0,0,5B7131D0-B495860A-745C5FEA-8C5-8EB
60,61,4,可千万勿虑啊,2018-08-13 14:55:10,不买星巴克我也买不起房[吃瓜],江苏南通,183.210.180.3,"江苏省南通市 移动 * GeoIP: Nantong, Jiangsu, China * China Mobile",23,1534143310,15,cj,0,1,0,0,5B712B4B-B7D2B403-18572396B-8C5-9E9
61,62,4,楚石pierre恋歌,2018-08-13 14:21:22,关你屁事,湖北潜江,117.152.126.160,"湖北省潜江市 移动 * GeoIP: Yichang, Hubei, China * China Mobile Guangdong",4,1534141282,0,cj,0,0,0,0,5B712361-75987EA0-1486D9A3F-8C5-922
62,63,4,9关心,2018-08-13 13:48:49,借贷生活可耻？说来给我解释一下美国人人借贷，国力第一,江西南昌,118.212.207.42,"江西省南昌市 联通 * GeoIP: Nanchang, Jiangxi, China * China Unicom Jiangxi",37,1534139329,2,cj,0,1,0,0,5B711BC0-76D4CF2A-162A037E8-8C5-97E
63,64,4,岁月-如烟,2018-08-13 13:04:25,照这思路责任肯定得由幼儿园小朋友承担啊。,北京东城,121.71.94.44,"北京市 鹏博士 * GeoIP: Beijing, China * Beijing Dian-Xin-Tong Network Technologies Co.",20,1534136665,1,cj,0,0,0,0,5B711158-79475E2C-16805A8BE-8C5-81A
64,65,4,Christopher_Nolan,2018-08-13 12:20:22,笑死了，某些人把车开翻了开始怪搭车的人了？,山东青岛,218.58.50.138,"山东省青岛市 联通 * GeoIP: Jinan, Shandong, China * China Unicom Liaoning",21,1534134022,1,cj,0,0,0,0,5B710702-DA3A328A-9046E59C-8C5-854
65,66,4,异人词,2018-08-13 10:38:13,文章咋没找到署名,澳大利亚,49.199.247.185,"澳大利亚  * GeoIP: Richmond, Victoria, Australia * Optus",8,1534127892,0,cj,0,0,0,0,5B70EF14-31C7F7B9-67928923-8C5-8D8
66,67,4,芹菜蘑菇猪肉馅饺子,2018-08-13 10:23:38,炒房价炒上天发现没人买了说没消费力，zz,福建福州,59.56.14.150,"福建省福州市 电信 * GeoIP: Fuzhou, Fujian, China * China Telecom fujian",20,1534127018,0,cj,0,0,0,0,5B70EBA6-3B380E96-13D51A8AA-8C5-916
67,68,4,中华第一桶桶桶,2018-08-13 10:16:35,那可鬼知道，不管房价什么情况，无所谓，反正买不起房，也供不起房贷,广东广州,112.96.70.164,"广东省广州市 联通 * GeoIP: Guangzhou, Guangdong, China * China Unicom Guangzhou network",47,1534126595,0,cj,0,2,0,0,5B70EA02-706046A4-171556B2C-8C5-8F3
68,69,4,chao恒星,2018-08-13 09:08:51,特意搜出来diss你一下,浙江杭州,183.246.17.226,"浙江省杭州市 移动 * GeoIP: Shanghai, China * China Mobile",12,1534122531,0,cj,0,0,0,0,5B70DA22-B7F611E2-14542979A-8C5-85E
69,70,4,苍背岭阿扭九,2018-08-13 08:18:58,年轻人才是中国的希望,广西,223.104.90.6,"广西自治区 移动 * GeoIP: Nanning, Guangxi, China * China Mobile Guangdong",10,1534119538,0,cj,0,0,0,0,5B70CE6F-DF685A06-1387592CF-8C5-8F5
70,71,4,大大大face张,2018-08-13 08:13:21,@Big-dog-杨磊 看评论,四川成都,117.136.62.10,"四川省成都市 移动 * GeoIP: Chengdu, Sichuan, China * China Mobile Guangdong",15,1534119201,0,cj,0,0,0,0,5B70CD1E-75883E0A-AA18AE70-8C5-8E4
71,72,4,看想了了了,2018-08-13 07:18:48,中国过去四十年，以50，60，70为主流的社会人群，没有积累起足够的技术积累，没有完善好相应的制度。如今积重难翻，是千禧一代消费导致的。国家核心竞争力从数控机床到计算机核心部件在过去的40年间，我们有无数个机会可以追上，错失机会的人是千禧一代吗？,山西太原,183.185.245.239,"山西省太原市 联通 * GeoIP: Taiyuan, Shanxi, China * sxty-haozhuang2-BAS",123,1534115928,2,cj,0,0,0,0,5B70C057-B7B9F5EF-D59DE686-8C5-873
72,73,4,我脱离低级趣味很久了,2018-08-13 06:14:27,愚蠢,美国新泽西州,100.8.206.156,"美国  * GeoIP: Jersey City, New Jersey, United States * Verizon Fios",2,1534112067,0,cj,0,0,0,0,5B70B142-6408CE9C-139908369-8C5-8A7
73,74,4,Piggy_Ichigo,2018-08-13 02:32:53,真的有意思，买包刷信用卡叫借债，买房贷款就不叫借债了，有意思。,上海,180.158.83.177,"上海市 电信 * GeoIP: Shanghai, China * China Telecom Shanghai",31,1534098772,0,cj,0,0,0,0,5B707D54-B49E53B1-131E1F400-8C5-8D0
74,75,4,王善良的春天,2018-08-13 01:21:44,规矩是你定的，怪年轻人干什么,宁夏银川,106.45.115.106,"宁夏自治区银川市 电信 * GeoIP: Yinchuan, Ningxia, China * China Telecom ningxia",14,1534094504,0,cj,0,0,0,0,5B706CA6-6A2D736A-12B50518F-8C5-7B9
75,76,4,不要掉发啊,2018-08-13 00:57:47,衮，年轻人不背这锅,广东韶关,113.75.241.132,"广东省韶关市 电信 * GeoIP: Shaoguan, Guangdong, China * China Telecom Guangdong",9,1534093067,0,cj,0,0,0,0,5B70670B-714BF184-BD24940C-8C5-88E
76,77,4,梁老师烤串儿,2018-08-13 00:18:46,不要把什么锅都推给千禧一代,山东威海,223.81.204.111,"山东省威海市 移动 * GeoIP: Weihai, Shandong, China * China Mobile Shandong",13,1534090726,0,cj,0,0,0,0,5B705DE5-DF51CC6F-13392DC26-8C5-858
77,78,4,写字楼对面起的名,2018-08-12 23:35:23,看着标题就来气,河南开封,61.158.148.92,"河南省郑州市 联通 * GeoIP: Zhengzhou, Henan, China * China Unicom Henan",7,1534088123,0,cj,0,0,0,0,5B7053BA-3D9E945C-169273A24-8C5-8A8
78,79,4,眼睛里的你5,2018-08-12 22:53:03,我可没借贷哦！那可是无底洞。有多少钱就过怎样的生活[吃瓜],浙江温州,112.12.156.37,"浙江省温州市 移动 * GeoIP: Wenzhou, Zhejiang, China * China Mobile",40,1534085583,0,cj,0,1,0,0,5B7049CE-700C9C25-139B671F7-8C5-7F1
79,80,4,他的名字叫做父亲,2018-08-12 22:01:25,拖垮？老子房子都买不起，给我说拖垮。拖垮了再说吧。,贵州贵阳,221.13.1.149,"贵州省贵阳市 联通 * GeoIP: Guiyang, Guizhou, China * China Unicom Guizhou",25,1534082485,0,cj,0,0,0,0,5B703DB5-DD0D0195-610FF7D9-8C5-866
80,81,5,数码小驴,2018-08-12 19:51:07,小编，你在供房不？觉得可耻吗？,广东广州,117.136.12.88,"广东省广州市 移动 * GeoIP: Guangzhou, Guangdong, China * China Mobile",15,1534074667,0,cj,0,0,0,0,5B701F29-75880C58-70B30448-8C5-924
81,82,5,祖国花朵是造型师,2018-08-12 18:51:21,从90开始是分界线，90以前有钱没素质，能扛起国家大旗的人很少，90以后的素质提高的不是一点点，但能扛起国家大旗的人更少了，大家都知道什么原因吧。,辽宁丹东,123.186.216.201,"辽宁省丹东市 电信 * GeoIP: Dandong, Liaoning, China * China Telecom Liaoning",73,1534071081,0,cj,0,0,0,0,5B701127-7BBAD8C9-167A18973-8C5-957
82,83,5,楼下集合,2018-08-12 17:53:43,我要有这本事，还等到今天？,河北,223.104.101.182,"河北省沧州市 移动 * GeoIP: Qinhuangdao, Hebei, China * Hebei Mobile Communication Company Limited",13,1534067623,0,cj,0,0,0,0,5B7003A1-DF6865B6-A3CAF435-8C5-89A
83,84,5,酒九k,2018-08-12 17:51:40,厉害,四川达州,118.117.189.40,"四川省达州市 电信 * GeoIP: Chengdu, Sichuan, China * China Telecom Sichuan",11,1534067500,0,cj,0,1,0,0,5B700329-7675BD28-17B494D22-8C5-831
84,85,5,twitter治国第一人,2018-08-12 17:21:51,90后拼死拼活[悲伤],山东,223.104.186.88,"山东省 移动 * GeoIP: Jinan, Shandong, China * China Mobile Shandong",11,1534065711,0,cj,0,0,0,0,5B6FFC2F-DF68BA58-154AE7B22-8C5-8C8
85,86,5,W-杰狗儿,2018-08-12 16:46:40,那还喊多生，生更多的年轻人来当祸害？[黑线] 砖家们，你们的思维超越银河系了啊。。。！！！,重庆,119.86.46.38,"重庆市 电信 * GeoIP: Chongqing, China * China Telecom Chongqing",45,1534063600,0,cj,0,0,0,0,5B6FF3EF-77562E26-E4546BBA-8C5-7EC
86,87,5,瑾爱诗,2018-08-12 13:49:55,有有有[喵喵],黑龙江哈尔滨,113.5.3.100,"黑龙江省哈尔滨市 联通 * GeoIP: Haerbin, Heilongjiang, China * China Unicom Heilongjiang",19,1534052995,0,cj,0,3,0,0,5B6FCA83-71050364-D88A9D1C-8C5-871
